entry_id	source	audio_text	status	reason	phonemes
oxford-a1-0120	can¹	can	ready	Sense marker only; same lexical pronunciation.	
oxford-a1-0150	close¹		ready	Oxford close1 verb is BrE /kləʊz/; raw Misaki phonemes avoid isolated-word homograph ambiguity.	klˈQz
oxford-a1-0211	do¹	do	ready	Sense marker only; same lexical pronunciation.	
oxford-a1-0422	last¹ (final)	last	ready	Parenthetical disambiguator should not be spoken.	
oxford-a1-0434	lie¹	lie	ready	Sense marker only; lie senses share pronunciation.	
oxford-a1-0444	live¹		ready	Oxford live1 verb is BrE /lɪv/; raw Misaki phonemes preserve the verb pronunciation.	lˈɪv
oxford-a1-0446	long¹	long	ready	Sense marker only; same lexical pronunciation.	
oxford-a1-0480	minute¹	minute	ready	A1 record is the common time-unit sense; remove marker only.	
oxford-a1-0668	second¹ (next after the first)	second	ready	Parenthetical disambiguator should not be spoken.	
oxford-a1-0669	second¹ (unit of time)	second	ready	Parenthetical disambiguator should not be spoken.	
oxford-a2-0115	can²	can	ready	Sense marker only; same lexical pronunciation.	
oxford-a2-0147	close²		ready	Oxford close2 adjective is BrE /kləʊs/; raw Misaki phonemes preserve the voiceless final consonant.	klˈQs
oxford-a2-0433	last¹ (final)	last	ready	Parenthetical disambiguator should not be spoken.	
oxford-a2-0434	last¹ (taking time)	last	ready	Parenthetical disambiguator should not be spoken.	
oxford-a2-0440	lead¹		ready	Oxford lead1 verb is BrE /liːd/; this is not the metal noun /led/.	lˈiːd
oxford-a2-0633	refuse¹		ready	Oxford refuse1 verb is BrE /rɪˈfjuːz/; raw phonemes preserve verb stress and /z/.	ɹɪfjˈuːz
oxford-a2-0652	ring¹	ring	ready	Sense marker only; ring senses share pronunciation.	
oxford-a2-0653	ring²	ring	ready	Sense marker only; ring senses share pronunciation.	
oxford-a2-0683	second¹ (next after the first)	second	ready	Parenthetical disambiguator should not be spoken.	
oxford-a2-0859	wind¹		ready	Oxford wind1 noun is BrE /wɪnd/; raw Misaki phonemes distinguish it from wind2 /waɪnd/.	wˈɪnd
oxford-b1-0119	close²		ready	Oxford close2 adverb/adjective pronunciation is BrE /kləʊs/.	klˈQs
oxford-b1-0151	content¹		ready	Oxford content1 noun is BrE /ˈkɒntent/; raw phonemes preserve first-syllable stress.	kˈɒntɛnt
oxford-b1-0396	lead¹		ready	Oxford lead1 noun is BrE /liːd/; this is not the metal noun lead2 /led/.	lˈiːd
oxford-b1-0404	lie² (tell a lie)	lie	ready	Parenthetical disambiguator should not be spoken; pronunciation is unambiguous.	
oxford-b1-0410	live²		ready	Oxford live2 adjective/adverb is BrE /laɪv/; raw Misaki phonemes distinguish it from live1 /lɪv/.	lˈIv
oxford-b1-0506	plus¹	plus	ready	Sense marker only; same lexical pronunciation.	
oxford-b1-0608	ring²	ring	ready	Sense marker only; ring senses share pronunciation.	
oxford-b1-0616	row¹		ready	Oxford row1 noun (a line/arrangement) is BrE /rəʊ/; not row2 argument /raʊ/.	ɹˈQ
oxford-b1-0768	used¹		ready	Oxford used1 adjective (accustomed) is BrE /juːst/.	jˈuːst
oxford-b1-0769	used²		ready	Oxford used2 adjective (previously used/second-hand) is BrE /juːzd/.	jˈuːzd
oxford-b2-0105	close¹		ready	Oxford close1 noun is BrE /kləʊz/; raw Misaki phonemes preserve voiced final /z/.	klˈQz
oxford-b2-0468	pension¹	pension	ready	Sense marker only; same lexical pronunciation.	
oxford-b2-0481	plus¹	plus	ready	Sense marker only; same lexical pronunciation.	
oxford-b2-0655	tear¹		ready	Oxford tear1 noun/verb (rip) is BrE /teə(r)/; Misaki British maps this centring vowel to /ɛː/.	tˈɛː
oxford-b2-0656	tear²		ready	Oxford tear2 noun/verb (from the eye) is BrE /tɪə(r)/.	tˈɪə
oxford-b2-0716	wind²		ready	Oxford wind2 verb is BrE /waɪnd/; raw Misaki phonemes distinguish it from wind1 /wɪnd/.	wˈInd
