id	level	source	meta	ukrainian	status	notes
ox5000-add-0101	C1	applaud	v. C1	аплодувати; схвально вітати	needs_second_pass	Official Oxford 5000 source row extracted; Ukrainian draft requires dictionary-sense second pass.
ox5000-add-0102	C1	applicable	adj. C1	застосовний; чинний	needs_second_pass	Official Oxford 5000 source row extracted; Ukrainian draft requires dictionary-sense second pass.
ox5000-add-0103	B2	applicant	n. B2	заявник; кандидат	needs_second_pass	Official Oxford 5000 source row extracted; Ukrainian draft requires dictionary-sense second pass.
ox5000-add-0104	C1	appoint	v. C1	призначати	needs_second_pass	Official Oxford 5000 source row extracted; Ukrainian draft requires dictionary-sense second pass.
ox5000-add-0105	C1	appreciation	n. C1	вдячність; розуміння цінності; оцінка	needs_second_pass	Official Oxford 5000 source row extracted; Ukrainian draft requires dictionary-sense second pass.
ox5000-add-0106	B2	appropriately	adv. B2	належним чином; доречно	needs_second_pass	Official Oxford 5000 source row extracted; Ukrainian draft requires dictionary-sense second pass.
ox5000-add-0107	C1	arbitrary	adj. C1	довільний; свавільний	needs_second_pass	Official Oxford 5000 source row extracted; Ukrainian draft requires dictionary-sense second pass.
ox5000-add-0108	C1	architectural	adj. C1	архітектурний	needs_second_pass	Official Oxford 5000 source row extracted; Ukrainian draft requires dictionary-sense second pass.
ox5000-add-0109	C1	archive	n. C1	архів	needs_second_pass	Official Oxford 5000 source row extracted; Ukrainian draft requires dictionary-sense second pass.
ox5000-add-0110	C1	arena	n. C1	арена; сфера діяльності	needs_second_pass	Official Oxford 5000 source row extracted; Ukrainian draft requires dictionary-sense second pass.
ox5000-add-0111	C1	arguably	adv. C1	можливо; можна стверджувати	needs_second_pass	Official Oxford 5000 source row extracted; Ukrainian draft requires dictionary-sense second pass.
ox5000-add-0112	C1	arm	v. C1	озброювати	needs_second_pass	Official Oxford 5000 source row extracted; Ukrainian draft requires dictionary-sense second pass.
ox5000-add-0113	C1	array	n. C1	масив; ряд; сукупність	needs_second_pass	Official Oxford 5000 source row extracted; Ukrainian draft requires dictionary-sense second pass.
ox5000-add-0114	B2	arrow	n. B2	стріла; стрілка	needs_second_pass	Official Oxford 5000 source row extracted; Ukrainian draft requires dictionary-sense second pass.
ox5000-add-0115	C1	articulate	v. C1	чітко висловлювати; формулювати	needs_second_pass	Official Oxford 5000 source row extracted; Ukrainian draft requires dictionary-sense second pass.
ox5000-add-0116	B2	artwork	n. B2	художня робота; графічне оформлення	needs_second_pass	Official Oxford 5000 source row extracted; Ukrainian draft requires dictionary-sense second pass.
ox5000-add-0117	C1	ash	n. C1	попіл	needs_second_pass	Official Oxford 5000 source row extracted; Ukrainian draft requires dictionary-sense second pass.
ox5000-add-0118	B2	aside	adv. B2	убік; осторонь	needs_second_pass	Official Oxford 5000 source row extracted; Ukrainian draft requires dictionary-sense second pass.
ox5000-add-0119	C1	aspiration	n. C1	прагнення; амбіція	needs_second_pass	Official Oxford 5000 source row extracted; Ukrainian draft requires dictionary-sense second pass.
ox5000-add-0120	C1	aspire	v. C1	прагнути	needs_second_pass	Official Oxford 5000 source row extracted; Ukrainian draft requires dictionary-sense second pass.
ox5000-add-0121	C1	assassination	n. C1	політичне вбивство; навмисне вбивство відомої особи	needs_second_pass	Official Oxford 5000 source row extracted; Ukrainian draft requires dictionary-sense second pass.
ox5000-add-0122	C1	assault	n., v. C1	напад; нападати	needs_second_pass	Official Oxford 5000 source row extracted; Ukrainian draft requires dictionary-sense second pass.
ox5000-add-0123	C1	assemble	v. C1	збирати; збиратися	needs_second_pass	Official Oxford 5000 source row extracted; Ukrainian draft requires dictionary-sense second pass.
ox5000-add-0124	C1	assembly	n. C1	зібрання; асамблея; складання	needs_second_pass	Official Oxford 5000 source row extracted; Ukrainian draft requires dictionary-sense second pass.
ox5000-add-0125	C1	assert	v. C1	стверджувати; відстоювати	needs_second_pass	Official Oxford 5000 source row extracted; Ukrainian draft requires dictionary-sense second pass.
ox5000-add-0126	C1	assertion	n. C1	твердження	needs_second_pass	Official Oxford 5000 source row extracted; Ukrainian draft requires dictionary-sense second pass.
ox5000-add-0127	B2	asset	n. B2	актив; цінний ресурс; перевага	needs_second_pass	Official Oxford 5000 source row extracted; Ukrainian draft requires dictionary-sense second pass.
ox5000-add-0128	B2	assign	v. B2	призначати; доручати; присвоювати	needs_second_pass	Official Oxford 5000 source row extracted; Ukrainian draft requires dictionary-sense second pass.
ox5000-add-0129	B2	assistance	n. B2	допомога	needs_second_pass	Official Oxford 5000 source row extracted; Ukrainian draft requires dictionary-sense second pass.
ox5000-add-0130	C1	assurance	n. C1	запевнення; гарантія; впевненість	needs_second_pass	Official Oxford 5000 source row extracted; Ukrainian draft requires dictionary-sense second pass.
ox5000-add-0131	B2	assure	v. B2	запевняти; гарантувати	needs_second_pass	Official Oxford 5000 source row extracted; Ukrainian draft requires dictionary-sense second pass.
ox5000-add-0132	B2	astonishing	adj. B2	дивовижний; вражаючий	needs_second_pass	Official Oxford 5000 source row extracted; Ukrainian draft requires dictionary-sense second pass.
ox5000-add-0133	C1	asylum	n. C1	притулок; політичний притулок	needs_second_pass	Official Oxford 5000 source row extracted; Ukrainian draft requires dictionary-sense second pass.
ox5000-add-0134	C1	atrocity	n. C1	звірство; жорстокий злочин	needs_second_pass	Official Oxford 5000 source row extracted; Ukrainian draft requires dictionary-sense second pass.
ox5000-add-0135	B2	attachment	n. B2	вкладення; прикріплення; прихильність	needs_second_pass	Official Oxford 5000 source row extracted; Ukrainian draft requires dictionary-sense second pass.
ox5000-add-0136	C1	attain	v. C1	досягати	needs_second_pass	Official Oxford 5000 source row extracted; Ukrainian draft requires dictionary-sense second pass.
ox5000-add-0137	C1	attendance	n. C1	присутність; відвідуваність	needs_second_pass	Official Oxford 5000 source row extracted; Ukrainian draft requires dictionary-sense second pass.
ox5000-add-0138	C1	attorney	n. C1	адвокат; юрист	needs_second_pass	Official Oxford 5000 source row extracted; Ukrainian draft requires dictionary-sense second pass.
ox5000-add-0139	C1	attribute	v., n. C1	приписувати; ознака; властивість	needs_second_pass	Official Oxford 5000 source row extracted; Ukrainian draft requires dictionary-sense second pass.
ox5000-add-0140	B2	auction	n. B2	аукціон	needs_second_pass	Official Oxford 5000 source row extracted; Ukrainian draft requires dictionary-sense second pass.
ox5000-add-0141	C1	audit	n. C1	аудит; перевірка	needs_second_pass	Official Oxford 5000 source row extracted; Ukrainian draft requires dictionary-sense second pass.
ox5000-add-0142	B2	audio	adj. B2	звуковий; аудіо-	needs_second_pass	Official Oxford 5000 source row extracted; Ukrainian draft requires dictionary-sense second pass.
ox5000-add-0143	C1	authentic	adj. C1	автентичний; справжній	needs_second_pass	Official Oxford 5000 source row extracted; Ukrainian draft requires dictionary-sense second pass.
ox5000-add-0144	C1	authorize	v. C1	уповноважувати; дозволяти	needs_second_pass	Official Oxford 5000 source row extracted; Ukrainian draft requires dictionary-sense second pass.
