id	level	source	meta	ukrainian	status	source_check
ox5000-add-0141	C1	audit	n. C1	аудит; перевірка	verified	Oxford 5000 list POS/CEFR confirmed 2026-08-18; Ukrainian primary audit/checking senses accepted.
ox5000-add-0142	B2	audio	adj. B2	звуковий; пов’язаний із записаним звуком	verified	OALD audio adjective reviewed 2026-08-18; recorded-sound sense retained.
ox5000-add-0143	C1	authentic	adj. C1	справжній; автентичний; достовірний	verified	OALD authentic adjective reviewed 2026-08-18; genuine/true/accurate senses retained.
ox5000-add-0144	C1	authorize	v. C1	уповноважувати; дозволяти	verified	Oxford 5000 list POS/CEFR confirmed 2026-08-18; Ukrainian authorization/permission senses accepted.
ox5000-add-0145	C1	auto	n. C1	автомобіль; авто	verified	Oxford 5000 list POS/CEFR confirmed 2026-08-18; automobile noun sense retained.
ox5000-add-0146	B2	automatic	adj. B2	автоматичний	verified	Oxford 5000 list POS/CEFR confirmed 2026-08-18; Ukrainian adjective is unambiguous.
ox5000-add-0147	B2	automatically	adv. B2	автоматично	verified	Oxford 5000 list POS/CEFR confirmed 2026-08-18; Ukrainian adverb is unambiguous.
ox5000-add-0148	C1	autonomy	n. C1	автономія; самостійність; незалежність у прийнятті рішень	verified	OALD autonomy noun reviewed 2026-08-18; self-government and independent-decision senses retained.
ox5000-add-0149	C1	availability	n. C1	наявність; доступність	verified	OALD availability noun reviewed 2026-08-18; availability/access senses retained.
ox5000-add-0150	C1	await	v. C1	очікувати; чекати на	verified	OALD await verb reviewed 2026-08-18; wait-for sense retained.
ox5000-add-0151	B2	awareness	n. B2	обізнаність; усвідомлення	verified	OALD awareness noun reviewed 2026-08-18; knowledge/realization senses retained.
ox5000-add-0152	B2	awkward	adj. B2	незручний; ніяковий; незграбний; складний у використанні	verified	OALD awkward adjective reviewed 2026-08-18; social, physical and difficult-to-use senses retained.
ox5000-add-0153	C1	backdrop	n. C1	тло; фон; задник	verified	Oxford 5000 list POS/CEFR confirmed 2026-08-18; literal and figurative background senses retained.
ox5000-add-0154	C1	backing	n. C1	підтримка; фінансова підтримка	needs_second_pass	Oxford 5000 list POS/CEFR confirmed; OALD entry has multiple material/support/music senses, so production translation remains fail-closed pending focused sense review.
