id	level	source	meta	ukrainian	status	notes
ox5000-add-0001	C1	abolish	v. C1		pending	
ox5000-add-0002	C1	abortion	n. C1		pending	
ox5000-add-0003	C1	absence	n. C1		pending	
ox5000-add-0004	C1	absent	adj. C1		pending	
ox5000-add-0005	B2	absorb	v. B2		pending	
ox5000-add-0006	B2	abstract	adj. B2		pending	
ox5000-add-0007	C1	absurd	adj. C1		pending	
ox5000-add-0008	C1	abundance	n. C1		pending	
ox5000-add-0009	C1	abuse	n., v. C1		pending	
ox5000-add-0010	C1	academy	n. C1		pending	
ox5000-add-0011	C1	accelerate	v. C1		pending	
ox5000-add-0012	B2	accent	n. B2		pending	
ox5000-add-0013	C1	acceptance	n. C1		pending	
ox5000-add-0014	C1	accessible	adj. C1		pending	
ox5000-add-0015	B2	accidentally	adv. B2		pending	
ox5000-add-0016	B2	accommodate	v. B2		pending	
ox5000-add-0017	B2	accomplish	v. B2		pending	
ox5000-add-0018	C1	accomplishment	n. C1		pending	
ox5000-add-0019	C1	accordance	n. C1		pending	
ox5000-add-0020	C1	accordingly	adv. C1		pending	
ox5000-add-0021	C1	accountability	n. C1		pending	
ox5000-add-0022	C1	accountable	adj. C1		pending	
ox5000-add-0023	B2	accountant	n. B2		pending	
ox5000-add-0024	C1	accumulate	v. C1		pending	
ox5000-add-0025	C1	accumulation	n. C1		pending	
ox5000-add-0026	B2	accuracy	n. B2		pending	
ox5000-add-0027	B2	accurately	adv. B2		pending	
ox5000-add-0028	C1	accusation	n. C1		pending	
ox5000-add-0029	C1	accused	n. C1		pending	
ox5000-add-0030	B2/C1	acid	n. B2, adj. C1		pending	
ox5000-add-0031	C1	acquisition	n. C1		pending	
ox5000-add-0032	C1	acre	n. C1		pending	
ox5000-add-0033	B2	activate	v. B2		pending	
ox5000-add-0034	C1	activation	n. C1		pending	
ox5000-add-0035	C1	activist	n. C1		pending	
ox5000-add-0036	C1	acute	adj. C1		pending	
ox5000-add-0037	C1	adaptation	n. C1		pending	
ox5000-add-0038	B2	addiction	n. B2		pending	
ox5000-add-0039	B2	additionally	adv. B2		pending	
ox5000-add-0040	B2	adequate	adj. B2		pending	
ox5000-add-0041	B2	adequately	adv. B2		pending	
ox5000-add-0042	C1	adhere	v. C1		pending	
ox5000-add-0043	C1	adjacent	adj. C1		pending	
ox5000-add-0044	B2	adjust	v. B2		pending	
ox5000-add-0045	C1	adjustment	n. C1		pending	
ox5000-add-0046	C1	administer	v. C1		pending	
ox5000-add-0047	C1	administrative	adj. C1		pending	
ox5000-add-0048	C1	administrator	n. C1		pending	
ox5000-add-0049	C1	admission	n. C1		pending	
ox5000-add-0050	C1	adolescent	n. C1		pending	
ox5000-add-0051	C1	adoption	n. C1		pending	
ox5000-add-0052	C1	adverse	adj. C1		pending	
ox5000-add-0053	C1	advocate	n., v. C1		pending	
ox5000-add-0054	C1	aesthetic	adj. C1		pending	
ox5000-add-0055	C1	affection	n. C1		pending	
ox5000-add-0056	B2	affordable	adj. B2		pending	
ox5000-add-0057	C1	aftermath	n. C1		pending	
ox5000-add-0058	C1	aggression	n. C1		pending	
ox5000-add-0059	C1	agricultural	adj. C1		pending	
ox5000-add-0060	B2	agriculture	n. B2		pending	
ox5000-add-0061	C1	aide	n. C1		pending	
ox5000-add-0062	B2	AIDS	n. B2		pending	
ox5000-add-0063	C1	albeit	conj. C1		pending	
ox5000-add-0064	C1	alert	v., n., adj. C1		pending	
ox5000-add-0065	B2/C1	alien	n. B2, adj. C1		pending	
ox5000-add-0066	C1	align	v. C1		pending	
ox5000-add-0067	C1	alignment	n. C1		pending	
ox5000-add-0068	C1	alike	adv., adj. C1		pending	
ox5000-add-0069	C1	allegation	n. C1		pending	
ox5000-add-0070	C1	allege	v. C1		pending	
ox5000-add-0071	C1	allegedly	adv. C1		pending	
ox5000-add-0072	C1	alliance	n. C1		pending	
ox5000-add-0073	C1	allocate	v. C1		pending	
ox5000-add-0074	C1	allocation	n. C1		pending	
ox5000-add-0075	C1	allowance	n. C1		pending	
ox5000-add-0076	C1	ally	n. C1		pending	
ox5000-add-0077	B2	alongside	prep. B2		pending	
ox5000-add-0078	B2	altogether	adv. B2		pending	
ox5000-add-0079	C1	aluminium	n. C1		pending	
ox5000-add-0080	C1	amateur	adj., n. C1		pending	
ox5000-add-0081	C1	ambassador	n. C1		pending	
ox5000-add-0082	B2	ambulance	n. B2		pending	
ox5000-add-0083	C1	amend	v. C1		pending	
ox5000-add-0084	C1	amendment	n. C1		pending	
ox5000-add-0085	C1	amid	prep. C1		pending	
ox5000-add-0086	B2	amusing	adj. B2		pending	
ox5000-add-0087	C1	analogy	n. C1		pending	
ox5000-add-0088	B2	analyst	n. B2		pending	
ox5000-add-0089	B2	ancestor	n. B2		pending	
ox5000-add-0090	C1	anchor	n. C1		pending	
ox5000-add-0091	C1	angel	n. C1		pending	
ox5000-add-0092	B2	animation	n. B2		pending	
ox5000-add-0093	B2	annually	adv. B2		pending	
ox5000-add-0094	C1	anonymous	adj. C1		pending	
ox5000-add-0095	B2	anticipate	v. B2		pending	
ox5000-add-0096	B2	anxiety	n. B2		pending	
ox5000-add-0097	B2	apology	n. B2		pending	
ox5000-add-0098	C1	apparatus	n. C1		pending	
ox5000-add-0099	C1	appealing	adj. C1		pending	
ox5000-add-0100	C1	appetite	n. C1		pending	
