data_factory_run_id	entry_id	source	part_of_speech	level	official_source	source_check	ukrainian_candidate
MANUAL_EMERGENCY_WORK_20260820_FIRST_PASS_V1	ox5000-6cb94901ee4c66a30fb3	bold	adjective	B2	https://www.oxfordlearnersdictionaries.com/us/definition/english/bold_1	MANUAL_EMERGENCY_WORK exact authoritative unaccounted identity; source_index=593; definition_path=/us/definition/english/bold_1; stable_id_recomputed=PASS; candidate_method=Helsinki-NLP/opus-mt-en-uk_candidate	жирний
MANUAL_EMERGENCY_WORK_20260820_FIRST_PASS_V1	ox5000-336cd82ab74183c72edd	bombing	noun	B2	https://www.oxfordlearnersdictionaries.com/us/definition/english/bombing	MANUAL_EMERGENCY_WORK exact authoritative unaccounted identity; source_index=596; definition_path=/us/definition/english/bombing; stable_id_recomputed=PASS; candidate_method=en_wiktionary_matching_pos_uk_translation	бомбардува́ння; бомбува́ння; тера́кт
MANUAL_EMERGENCY_WORK_20260820_FIRST_PASS_V1	ox5000-0324076e988934c9c7ca	booking	noun	B2	https://www.oxfordlearnersdictionaries.com/us/definition/english/booking	MANUAL_EMERGENCY_WORK exact authoritative unaccounted identity; source_index=602; definition_path=/us/definition/english/booking; stable_id_recomputed=PASS; candidate_method=en_wiktionary_matching_pos_uk_translation	резервува́ння; бронюва́ння
MANUAL_EMERGENCY_WORK_20260820_FIRST_PASS_V1	ox5000-00636bc1e91847dc273e	boost	noun	B2	https://www.oxfordlearnersdictionaries.com/us/definition/english/boost_2	MANUAL_EMERGENCY_WORK exact authoritative unaccounted identity; source_index=604; definition_path=/us/definition/english/boost_2; stable_id_recomputed=PASS; candidate_method=en_wiktionary_matching_pos_uk_translation	запомо́га
MANUAL_EMERGENCY_WORK_20260820_FIRST_PASS_V1	ox5000-c0b4a3f25a5eb7edbd5f	boost	verb	B2	https://www.oxfordlearnersdictionaries.com/us/definition/english/boost_1	MANUAL_EMERGENCY_WORK exact authoritative unaccounted identity; source_index=605; definition_path=/us/definition/english/boost_1; stable_id_recomputed=PASS; candidate_method=Helsinki-NLP/opus-mt-en-uk_candidate	Підсилення
MANUAL_EMERGENCY_WORK_20260820_FIRST_PASS_V1	ox5000-1f5a6ea35a13b0e40dd1	bound	adjective	B2	https://www.oxfordlearnersdictionaries.com/us/definition/english/bound_1	MANUAL_EMERGENCY_WORK exact authoritative unaccounted identity; source_index=621; definition_path=/us/definition/english/bound_1; stable_id_recomputed=PASS; candidate_method=Helsinki-NLP/opus-mt-en-uk_candidate	прив' язаний
MANUAL_EMERGENCY_WORK_20260820_FIRST_PASS_V1	ox5000-f36df4a285a808895f17	brick	noun	B2	https://www.oxfordlearnersdictionaries.com/us/definition/english/brick_1	MANUAL_EMERGENCY_WORK exact authoritative unaccounted identity; source_index=648; definition_path=/us/definition/english/brick_1; stable_id_recomputed=PASS; candidate_method=en_wiktionary_matching_pos_uk_translation	цегли́на; це́гла; цегля́стий; цегли́стий
MANUAL_EMERGENCY_WORK_20260820_FIRST_PASS_V1	ox5000-c8c42d98d7e616f8064a	briefly	adverb	B2	https://www.oxfordlearnersdictionaries.com/us/definition/english/briefly	MANUAL_EMERGENCY_WORK exact authoritative unaccounted identity; source_index=652; definition_path=/us/definition/english/briefly; stable_id_recomputed=PASS; candidate_method=Helsinki-NLP/opus-mt-en-uk_candidate	короткий час
MANUAL_EMERGENCY_WORK_20260820_FIRST_PASS_V1	ox5000-a29b52dd76fad8a77358	broadcaster	noun	B2	https://www.oxfordlearnersdictionaries.com/us/definition/english/broadcaster	MANUAL_EMERGENCY_WORK exact authoritative unaccounted identity; source_index=660; definition_path=/us/definition/english/broadcaster; stable_id_recomputed=PASS; candidate_method=en_wiktionary_matching_pos_uk_translation	мо́вник
MANUAL_EMERGENCY_WORK_20260820_FIRST_PASS_V1	ox5000-c665d95862829f444fe3	broadly	adverb	B2	https://www.oxfordlearnersdictionaries.com/us/definition/english/broadly	MANUAL_EMERGENCY_WORK exact authoritative unaccounted identity; source_index=661; definition_path=/us/definition/english/broadly; stable_id_recomputed=PASS; candidate_method=Helsinki-NLP/opus-mt-en-uk_candidate	Широко
MANUAL_EMERGENCY_WORK_20260820_FIRST_PASS_V1	ox5000-7e010b349356a4ff144c	bug	noun	B2	https://www.oxfordlearnersdictionaries.com/us/definition/english/bug_1	MANUAL_EMERGENCY_WORK exact authoritative unaccounted identity; source_index=675; definition_path=/us/definition/english/bug_1; stable_id_recomputed=PASS; candidate_method=en_wiktionary_matching_pos_uk_translation	клоп; кома́шка; ку́зька; ку́зка
MANUAL_EMERGENCY_WORK_20260820_FIRST_PASS_V1	ox5000-bc1029015aec50c2aea1	cabin	noun	B2	https://www.oxfordlearnersdictionaries.com/us/definition/english/cabin	MANUAL_EMERGENCY_WORK exact authoritative unaccounted identity; source_index=701; definition_path=/us/definition/english/cabin; stable_id_recomputed=PASS; candidate_method=en_wiktionary_matching_pos_uk_translation	хати́на; хи́жа; халу́па; ха́та
MANUAL_EMERGENCY_WORK_20260820_FIRST_PASS_V1	ox5000-b575091301cde0aab47c	canal	noun	B2	https://www.oxfordlearnersdictionaries.com/us/definition/english/canal	MANUAL_EMERGENCY_WORK exact authoritative unaccounted identity; source_index=722; definition_path=/us/definition/english/canal; stable_id_recomputed=PASS; candidate_method=en_wiktionary_matching_pos_uk_translation	кана́л
MANUAL_EMERGENCY_WORK_20260820_FIRST_PASS_V1	ox5000-6c90d20f57eaa3951076	candle	noun	B2	https://www.oxfordlearnersdictionaries.com/us/definition/english/candle	MANUAL_EMERGENCY_WORK exact authoritative unaccounted identity; source_index=726; definition_path=/us/definition/english/candle; stable_id_recomputed=PASS; candidate_method=en_wiktionary_matching_pos_uk_translation	сві́чка
MANUAL_EMERGENCY_WORK_20260820_FIRST_PASS_V1	ox5000-aadc5f65541eae6cccd0	carbon	noun	B2	https://www.oxfordlearnersdictionaries.com/us/definition/english/carbon	MANUAL_EMERGENCY_WORK exact authoritative unaccounted identity; source_index=741; definition_path=/us/definition/english/carbon; stable_id_recomputed=PASS; candidate_method=en_wiktionary_matching_pos_uk_translation	вугле́ць
MANUAL_EMERGENCY_WORK_20260820_FIRST_PASS_V1	ox5000-9c94f94be7b1a888dd21	casual	adjective	B2	https://www.oxfordlearnersdictionaries.com/us/definition/english/casual_1	MANUAL_EMERGENCY_WORK exact authoritative unaccounted identity; source_index=762; definition_path=/us/definition/english/casual_1; stable_id_recomputed=PASS; candidate_method=Helsinki-NLP/opus-mt-en-uk_candidate	випадковий
MANUAL_EMERGENCY_WORK_20260820_FIRST_PASS_V1	ox5000-2f11663a968a94ccb406	cave	noun	B2	https://www.oxfordlearnersdictionaries.com/us/definition/english/cave_1	MANUAL_EMERGENCY_WORK exact authoritative unaccounted identity; source_index=775; definition_path=/us/definition/english/cave_1; stable_id_recomputed=PASS; candidate_method=en_wiktionary_matching_pos_uk_translation	пече́ра; підземе́лля
MANUAL_EMERGENCY_WORK_20260820_FIRST_PASS_V1	ox5000-1a9ae9f38cefadbdbe69	certainty	noun	B2	https://www.oxfordlearnersdictionaries.com/us/definition/english/certainty	MANUAL_EMERGENCY_WORK exact authoritative unaccounted identity; source_index=792; definition_path=/us/definition/english/certainty; stable_id_recomputed=PASS; candidate_method=en_wiktionary_matching_pos_uk_translation	пе́вність; впе́вненість
MANUAL_EMERGENCY_WORK_20260820_FIRST_PASS_V1	ox5000-f65ec664052307d40e5e	certificate	noun	B2	https://www.oxfordlearnersdictionaries.com/us/definition/english/certificate_1	MANUAL_EMERGENCY_WORK exact authoritative unaccounted identity; source_index=793; definition_path=/us/definition/english/certificate_1; stable_id_recomputed=PASS; candidate_method=en_wiktionary_matching_pos_uk_translation	сертифіка́т; свідо́цтво; докуме́нт
MANUAL_EMERGENCY_WORK_20260820_FIRST_PASS_V1	ox5000-d11e4137c39c91300aa9	challenging	adjective	B2	https://www.oxfordlearnersdictionaries.com/us/definition/english/challenging	MANUAL_EMERGENCY_WORK exact authoritative unaccounted identity; source_index=801; definition_path=/us/definition/english/challenging; stable_id_recomputed=PASS; candidate_method=Helsinki-NLP/opus-mt-en-uk_candidate	складний
MANUAL_EMERGENCY_WORK_20260820_FIRST_PASS_V1	ox5000-371ffb23c06cf5d1b8ef	championship	noun	B2	https://www.oxfordlearnersdictionaries.com/us/definition/english/championship	MANUAL_EMERGENCY_WORK exact authoritative unaccounted identity; source_index=804; definition_path=/us/definition/english/championship; stable_id_recomputed=PASS; candidate_method=en_wiktionary_matching_pos_uk_translation	чемпіона́т
MANUAL_EMERGENCY_WORK_20260820_FIRST_PASS_V1	ox5000-aa38df2298e6ecac59b2	charming	adjective	B2	https://www.oxfordlearnersdictionaries.com/us/definition/english/charming	MANUAL_EMERGENCY_WORK exact authoritative unaccounted identity; source_index=819; definition_path=/us/definition/english/charming; stable_id_recomputed=PASS; candidate_method=Helsinki-NLP/opus-mt-en-uk_candidate	чарівна
