entry_id	source	part_of_speech	ukrainian	agreement_score
ox5000-c0b4a3f25a5eb7edbd5f	boost	verb	Підсилення	0.000
ox5000-c665d95862829f444fe3	broadly	adverb	Широко	0.182
ox5000-9c94f94be7b1a888dd21	casual	adjective	випадковий	0.167
ox5000-e9afbf1e9b9ba09c65ee	cheer	noun	веселий	0.000
ox5000-042f56b4f8aa0bfb23f1	cheer	verb	веселий	0.000
ox5000-5f21cc31a80fe8b694f6	chop	verb	bar	0.000
ox5000-326407a82f0ca95e4a7e	considerably	adverb	Значно	0.118
ox5000-29eb47fd6a314aa1730d	consistently	adverb	завжди	0.111
ox5000-7218b3757288c078fffe	discourage	verb	Заборонити	0.154
ox5000-5e7d80af5eef97168291	distant	adjective	віддалений	0.154
ox5000-ef35efd68f20517aad21	fabulous	adjective	Дивовижно	0.133
ox5000-4f6617b9287ff2da9ea7	firmly	adverb	твердо	0.182
ox5000-9f9486a0d8382b5782ea	fortunate	adjective	щастило	0.143
ox5000-8eb2e0b61582abcd29fd	framework	noun	оболонка	0.143
ox5000-0910ae2efee31d9ab3a4	gig	noun	джойстик	0.182
ox5000-8645840cb5bbd2168ad2	gorgeous	adjective	розкішна	0.143
ox5000-f20da69ea37da6663eb9	greatly	adverb	дуже добре.	0.125
ox5000-031f0c28f6bfce2b6e15	jail	verb	в'язниця	0.200
ox5000-781a985da79bb4af5cdf	peer	noun	Вузол	0.000
ox5000-da6c1e1198461773e1dc	plead	verb	support	0.167
ox5000-a2a56181aff99fea04b0	plunge	verb	fall	0.200
ox5000-56711d8b015a24df31cf	portray	verb	зображення	0.167
ox5000-b149024523e283a89471	prestigious	adjective	Гідничний	0.125
ox5000-0de61af433bd2562aabd	presume	verb	Припускати	0.154
ox5000-9bfc0299d5cbf77457ab	profound	adjective	Глибокий	0.167
ox5000-87f79a47a3d406def88a	prohibit	verb	Заборонити	0.182
ox5000-f04358c550167dff6b4c	prospective	adjective	майбутня	0.190
ox5000-e72aef296449310d3771	psychiatric	adjective	Психічний	0.118
ox5000-3631f2773b187680d3a9	pulse	noun	імпульс	0.154
ox5000-5e11e486d4f68608018c	punch	noun	удар	0.000
ox5000-8f1c8ff0d448af6b1b00	punch	verb	удар	0.000
ox5000-0fbbc2a505e3fca073f1	pursuit	noun	пошук	0.154
ox5000-f8f10d86fe3b2b70cd7b	quest	noun	пошук	0.182
