entry_id	source	part_of_speech	level	official_source	definition_path	exact_definition	selected_candidate	selected_candidate_method	candidate_history	reason
ox5000-0324076e988934c9c7ca	booking	noun	B2	https://www.oxfordlearnersdictionaries.com/us/definition/english/booking	/us/definition/english/booking	an arrangement that you make in advance to buy a ticket to travel somewhere, go to the theatre, etc.	резервува́ння	en_wiktionary_matching_pos_uk_translation	en_wiktionary_matching_pos_uk_translation=>'резервува́ння';reverse='reserve';lex=0.000;candDef=0.399;revDef=0.185;decision=BLOCKED:low reverse lexical agreement 0.000 || en_wiktionary_matching_pos_uk_translation=>'бронюва́ння';reverse='armor';lex=0.167;candDef=0.072;revDef=0.120;decision=BLOCKED:low reverse lexical agreement 0.167 || Helsinki-NLP/opus-mt-en-uk_contextual_definition_candidate=>'записування (ноун): розпорядок, який ви зробите заздалегідь, щоб купити квиток, щоб кудись поїхати, піти до театру тощо.';reverse='Recording: The arrangement you make in advance to buy a ticket to go somewhere, go to the theater, and so forth.';lex=0.000;candDef=0.718;revDef=0.751;decision=BLOCKED:noun candidate is an infinitive/verb form || Helsinki-NLP/opus-mt-en-uk_surface_candidate=>'записування';reverse='recording';lex=0.500;candDef=0.214;revDef=0.083;decision=BLOCKED:candidate/reverse meaning does not align with exact Oxford definition (0.214)	BLOCKED: low reverse lexical agreement 0.000; method=en_wiktionary_matching_pos_uk_translation; exact Oxford definition='an arrangement that you make in advance to buy a ticket to travel somewhere, go to the theatre, etc.'; candidate='резервува́ння'; reverse='reserve'; lexical=0.000; candidate_definition_similarity=0.399; reverse_definition_similarity=0.185; semantic=0.399.
ox5000-00636bc1e91847dc273e	boost	noun	B2	https://www.oxfordlearnersdictionaries.com/us/definition/english/boost_2	/us/definition/english/boost_2	something that helps or encourages somebody/something	запомо́га	en_wiktionary_matching_pos_uk_translation	en_wiktionary_matching_pos_uk_translation=>'запомо́га';reverse='relief work';lex=0.125;candDef=0.355;revDef=0.366;decision=BLOCKED:low reverse lexical agreement 0.125 || Helsinki-NLP/opus-mt-en-uk_contextual_definition_candidate=>'Підсилити (нуун): щось, що допомагає або підбадьорює когось або щось';reverse='Supplies: something that helps or encourages someone or something';lex=0.000;candDef=0.876;revDef=0.729;decision=BLOCKED:noun candidate is an infinitive/verb form || Helsinki-NLP/opus-mt-en-uk_surface_candidate=>'Підсилення';reverse='Gain';lex=0.000;candDef=0.226;revDef=0.243;decision=BLOCKED:low reverse lexical agreement 0.000	BLOCKED: low reverse lexical agreement 0.125; method=en_wiktionary_matching_pos_uk_translation; exact Oxford definition='something that helps or encourages somebody/something'; candidate='запомо́га'; reverse='relief work'; lexical=0.125; candidate_definition_similarity=0.355; reverse_definition_similarity=0.366; semantic=0.366.
ox5000-c0b4a3f25a5eb7edbd5f	boost	verb	B2	https://www.oxfordlearnersdictionaries.com/us/definition/english/boost_1	/us/definition/english/boost_1	to make something increase, or become better or more successful	подвоєння (клацання): щоб збільшити значення, або стати кращим або успішнішим	Helsinki-NLP/opus-mt-en-uk_contextual_definition_candidate	Helsinki-NLP/opus-mt-en-uk_contextual_definition_candidate=>'подвоєння (клацання): щоб збільшити значення, або стати кращим або успішнішим';reverse='doubles (clicks): to increase value, or to become better or more successful';lex=0.000;candDef=0.805;revDef=0.577;decision=BLOCKED:verb candidate is not an appropriate Ukrainian infinitive/verb phrase || Helsinki-NLP/opus-mt-en-uk_surface_candidate=>'Підсилення';reverse='Gain';lex=0.000;candDef=0.493;revDef=0.464;decision=BLOCKED:verb candidate is not an appropriate Ukrainian infinitive/verb phrase	BLOCKED: verb candidate is not an appropriate Ukrainian infinitive/verb phrase; method=Helsinki-NLP/opus-mt-en-uk_contextual_definition_candidate; exact Oxford definition='to make something increase, or become better or more successful'; candidate='подвоєння (клацання): щоб збільшити значення, або стати кращим або успішнішим'; reverse='doubles (clicks): to increase value, or to become better or more successful'; lexical=0.000; candidate_definition_similarity=0.805; reverse_definition_similarity=0.577; semantic=0.000.
ox5000-1f5a6ea35a13b0e40dd1	bound	adjective	B2	https://www.oxfordlearnersdictionaries.com/us/definition/english/bound_1	/us/definition/english/bound_1	certain or likely to happen, or to do or be something	прив' язаний (підприємець): певний або ймовірний випадок, або зробити або бути чимось	Helsinki-NLP/opus-mt-en-uk_contextual_definition_candidate	"Helsinki-NLP/opus-mt-en-uk_contextual_definition_candidate=>""прив' язаний (підприємець): певний або ймовірний випадок, або зробити або бути чимось"";reverse='bound (Advanced): a certain or likely case, or do or be something';lex=0.000;candDef=0.677;revDef=0.599;decision=BLOCKED:adjective candidate has no plausible Ukrainian adjective morphology || Helsinki-NLP/opus-mt-en-uk_surface_candidate=>""прив' язаний"";reverse='bound';lex=0.000;candDef=0.209;revDef=0.126;decision=BLOCKED:adjective candidate has no plausible Ukrainian adjective morphology"	"BLOCKED: adjective candidate has no plausible Ukrainian adjective morphology; method=Helsinki-NLP/opus-mt-en-uk_contextual_definition_candidate; exact Oxford definition='certain or likely to happen, or to do or be something'; candidate=""прив' язаний (підприємець): певний або ймовірний випадок, або зробити або бути чимось""; reverse='bound (Advanced): a certain or likely case, or do or be something'; lexical=0.000; candidate_definition_similarity=0.677; reverse_definition_similarity=0.599; semantic=0.000."
ox5000-c665d95862829f444fe3	broadly	adverb	B2	https://www.oxfordlearnersdictionaries.com/us/definition/english/broadly	/us/definition/english/broadly	generally, without considering details	Широко ( прислівник): загалом, не розглядаючи подробиць	Helsinki-NLP/opus-mt-en-uk_contextual_definition_candidate	Helsinki-NLP/opus-mt-en-uk_contextual_definition_candidate=>'Широко ( прислівник): загалом, не розглядаючи подробиць';reverse='Wide (Adverb): generally without looking at details';lex=0.145;candDef=0.739;revDef=0.509;decision=BLOCKED:low reverse lexical agreement 0.145 || Helsinki-NLP/opus-mt-en-uk_surface_candidate=>'Широко';reverse='Wide';lex=0.182;candDef=0.437;revDef=0.228;decision=BLOCKED:low reverse lexical agreement 0.182	BLOCKED: low reverse lexical agreement 0.145; method=Helsinki-NLP/opus-mt-en-uk_contextual_definition_candidate; exact Oxford definition='generally, without considering details'; candidate='Широко ( прислівник): загалом, не розглядаючи подробиць'; reverse='Wide (Adverb): generally without looking at details'; lexical=0.145; candidate_definition_similarity=0.739; reverse_definition_similarity=0.509; semantic=0.739.
ox5000-7e010b349356a4ff144c	bug	noun	B2	https://www.oxfordlearnersdictionaries.com/us/definition/english/bug_1	/us/definition/english/bug_1	any small insect	кома́шка	en_wiktionary_matching_pos_uk_translation	en_wiktionary_matching_pos_uk_translation=>'клоп';reverse='crotch';lex=0.000;candDef=0.299;revDef=0.357;decision=BLOCKED:low reverse lexical agreement 0.000 || en_wiktionary_matching_pos_uk_translation=>'кома́шка';reverse='Cottach';lex=0.000;candDef=0.633;revDef=0.234;decision=BLOCKED:low reverse lexical agreement 0.000 || en_wiktionary_matching_pos_uk_translation=>'ку́зька';reverse='Coal';lex=0.000;candDef=0.378;revDef=0.097;decision=BLOCKED:low reverse lexical agreement 0.000 || en_wiktionary_matching_pos_uk_translation=>'ку́зка';reverse='Ostrich';lex=0.000;candDef=0.371;revDef=0.416;decision=BLOCKED:low reverse lexical agreement 0.000 || Helsinki-NLP/opus-mt-en-uk_contextual_definition_candidate=>'bug (noun): будь- яка маленька комаха';reverse='bug (noun): any small insect';lex=0.000;candDef=0.807;revDef=0.843;decision=BLOCKED:Latin-language residue remains || Helsinki-NLP/opus-mt-en-uk_surface_candidate=>'bug';reverse='bug';lex=0.000;candDef=0.401;revDef=0.401;decision=BLOCKED:candidate is not predominantly Ukrainian	BLOCKED: low reverse lexical agreement 0.000; method=en_wiktionary_matching_pos_uk_translation; exact Oxford definition='any small insect'; candidate='кома́шка'; reverse='Cottach'; lexical=0.000; candidate_definition_similarity=0.633; reverse_definition_similarity=0.234; semantic=0.633.
ox5000-bc1029015aec50c2aea1	cabin	noun	B2	https://www.oxfordlearnersdictionaries.com/us/definition/english/cabin	/us/definition/english/cabin	a small room on a ship in which you live or sleep	Каюта (ноун): невеличка кімната на кораблі, в якому ви живете або спите.	Helsinki-NLP/opus-mt-en-uk_contextual_definition_candidate	en_wiktionary_matching_pos_uk_translation=>'хати́на';reverse='House';lex=0.000;candDef=0.245;revDef=0.412;decision=BLOCKED:low reverse lexical agreement 0.000 || en_wiktionary_matching_pos_uk_translation=>'хи́жа';reverse='shawl';lex=0.200;candDef=0.264;revDef=0.180;decision=BLOCKED:low reverse lexical agreement 0.200 || en_wiktionary_matching_pos_uk_translation=>'халу́па';reverse='haluʹpa';lex=0.167;candDef=0.280;revDef=0.149;decision=BLOCKED:low reverse lexical agreement 0.167 || en_wiktionary_matching_pos_uk_translation=>'ха́та';reverse='haʹta';lex=0.200;candDef=0.288;revDef=0.158;decision=BLOCKED:low reverse lexical agreement 0.200 || Helsinki-NLP/opus-mt-en-uk_contextual_definition_candidate=>'Каюта (ноун): невеличка кімната на кораблі, в якому ви живете або спите.';reverse='Kauta (Noun): a small room on a ship where you live or sleep.';lex=0.065;candDef=0.896;revDef=0.687;decision=BLOCKED:low reverse lexical agreement 0.065 || Helsinki-NLP/opus-mt-en-uk_surface_candidate=>'хижина';reverse='precipitous';lex=0.250;candDef=0.424;revDef=0.179;decision=BLOCKED:low reverse lexical agreement 0.250	BLOCKED: low reverse lexical agreement 0.065; method=Helsinki-NLP/opus-mt-en-uk_contextual_definition_candidate; exact Oxford definition='a small room on a ship in which you live or sleep'; candidate='Каюта (ноун): невеличка кімната на кораблі, в якому ви живете або спите.'; reverse='Kauta (Noun): a small room on a ship where you live or sleep.'; lexical=0.065; candidate_definition_similarity=0.896; reverse_definition_similarity=0.687; semantic=0.896.
ox5000-9c94f94be7b1a888dd21	casual	adjective	B2	https://www.oxfordlearnersdictionaries.com/us/definition/english/casual_1	/us/definition/english/casual_1	not formal	випадковий (прикметник): не є формальним	Helsinki-NLP/opus-mt-en-uk_contextual_definition_candidate	Helsinki-NLP/opus-mt-en-uk_contextual_definition_candidate=>'випадковий (прикметник): не є формальним';reverse='random (announcer): not regular';lex=0.118;candDef=0.535;revDef=0.243;decision=BLOCKED:low reverse lexical agreement 0.118 || Helsinki-NLP/opus-mt-en-uk_surface_candidate=>'випадковий';reverse='random';lex=0.167;candDef=0.471;revDef=0.229;decision=BLOCKED:low reverse lexical agreement 0.167	BLOCKED: low reverse lexical agreement 0.118; method=Helsinki-NLP/opus-mt-en-uk_contextual_definition_candidate; exact Oxford definition='not formal'; candidate='випадковий (прикметник): не є формальним'; reverse='random (announcer): not regular'; lexical=0.118; candidate_definition_similarity=0.535; reverse_definition_similarity=0.243; semantic=0.535.
ox5000-faf95786d6bb15f92757	chase	noun	B2	https://www.oxfordlearnersdictionaries.com/us/definition/english/chase_2	/us/definition/english/chase_2	an act of running or driving after somebody/something in order to catch them or it	ганя́ти	en_wiktionary_matching_pos_uk_translation	en_wiktionary_matching_pos_uk_translation=>'ганя́ти';reverse='harbors';lex=0.000;candDef=0.344;revDef=0.129;decision=BLOCKED:noun candidate is an infinitive/verb form || en_wiktionary_matching_pos_uk_translation=>'поганя́ти';reverse='Figurative';lex=0.000;candDef=0.424;revDef=0.342;decision=BLOCKED:noun candidate is an infinitive/verb form || en_wiktionary_matching_pos_uk_translation=>'гна́ти';reverse='nuts';lex=0.000;candDef=0.370;revDef=0.207;decision=BLOCKED:noun candidate is an infinitive/verb form || en_wiktionary_matching_pos_uk_translation=>'погна́ти';reverse='Plowing';lex=0.000;candDef=0.416;revDef=0.321;decision=BLOCKED:noun candidate is an infinitive/verb form || Helsinki-NLP/opus-mt-en-uk_contextual_definition_candidate=>'pun (noun): акт запуску або водіння за кимось або чимось для того, щоб зловити їх або';reverse='pun (noun) an act of running or driving after someone or something to catch them or';lex=0.000;candDef=0.641;revDef=0.724;decision=BLOCKED:Latin-language residue remains || Helsinki-NLP/opus-mt-en-uk_surface_candidate=>'train';reverse='track';lex=0.000;candDef=0.219;revDef=0.373;decision=BLOCKED:candidate is not predominantly Ukrainian	BLOCKED: noun candidate is an infinitive/verb form; method=en_wiktionary_matching_pos_uk_translation; exact Oxford definition='an act of running or driving after somebody/something in order to catch them or it'; candidate='ганя́ти'; reverse='harbors'; lexical=0.000; candidate_definition_similarity=0.344; reverse_definition_similarity=0.129; semantic=0.000.
ox5000-1c569c97ca81d70efaf2	chase	verb	B2	https://www.oxfordlearnersdictionaries.com/us/definition/english/chase_1	/us/definition/english/chase_1	to run, drive, etc. after somebody/something in order to catch them or it	погна́ти	en_wiktionary_matching_pos_uk_translation	en_wiktionary_matching_pos_uk_translation=>'ганя́ти';reverse='harbors';lex=0.500;candDef=0.225;revDef=0.088;decision=BLOCKED:candidate/reverse meaning does not align with exact Oxford definition (0.225) || en_wiktionary_matching_pos_uk_translation=>'поганя́ти';reverse='Figurative';lex=0.267;candDef=0.274;revDef=0.153;decision=BLOCKED:low reverse lexical agreement 0.267 || en_wiktionary_matching_pos_uk_translation=>'гна́ти';reverse='nuts';lex=0.222;candDef=0.243;revDef=0.119;decision=BLOCKED:low reverse lexical agreement 0.222 || en_wiktionary_matching_pos_uk_translation=>'погна́ти';reverse='Plowing';lex=0.000;candDef=0.346;revDef=0.260;decision=BLOCKED:low reverse lexical agreement 0.000 || Helsinki-NLP/opus-mt-en-uk_contextual_definition_candidate=>'track (verboard): запустити, drive, і т.д. після когось або чогось для того, щоб спіймати їх або';reverse='track (verbboard): start, drive, etc. after someone or something to catch them or';lex=0.000;candDef=0.688;revDef=0.677;decision=BLOCKED:Latin-language residue remains || Helsinki-NLP/opus-mt-en-uk_surface_candidate=>'train';reverse='track';lex=0.000;candDef=0.198;revDef=0.339;decision=BLOCKED:candidate is not predominantly Ukrainian	BLOCKED: low reverse lexical agreement 0.000; method=en_wiktionary_matching_pos_uk_translation; exact Oxford definition='to run, drive, etc. after somebody/something in order to catch them or it'; candidate='погна́ти'; reverse='Plowing'; lexical=0.000; candidate_definition_similarity=0.346; reverse_definition_similarity=0.260; semantic=0.346.
