entry_id	source	part_of_speech	level	official_source	definition_path	exact_definition	selected_candidate	selected_candidate_method	sense_source	sense_gloss	sense_alignment	morphology_evidence	candidate_history	reason
ox5000-6cb94901ee4c66a30fb3	bold	adjective	B2	https://www.oxfordlearnersdictionaries.com/us/definition/english/bold_1	/us/definition/english/bold_1	brave and confident; not afraid to say what you feel or to take risks	жирний	Helsinki-NLP/opus-mt-en-uk_surface_candidate			gloss_definition_similarity=1.000; lexical_overlap=0	pymorphy3 uk canonical lemma PASS; tag=ADJF,compb masc,nomn; score=1.0000	Helsinki-NLP/opus-mt-en-uk_surface_candidate=>'жирний';sense_gloss='';reverse='bold';glossDef=1.000;candDef=0.133;revDef=0.252;lex=1.000;morph=pymorphy3 uk canonical form retained; tag=ADJF,compb masc,nomn; score=1.0000;decision=BLOCKED:surface MT is candidate generation only; no independent sense-specific bilingual confirmation for this lexical value	BLOCKED V5: surface MT is candidate generation only; no independent sense-specific bilingual confirmation for this lexical value; exact Oxford definition='brave and confident; not afraid to say what you feel or to take risks'.
ox5000-336cd82ab74183c72edd	bombing	noun	B2	https://www.oxfordlearnersdictionaries.com/us/definition/english/bombing	/us/definition/english/bombing	an occasion when a bomb is dropped or left somewhere; the act of doing this	бомбардува́ння	en_wiktionary_sense_bound_uk_translation	English Wiktionary	action of dropping bombs from the air	gloss_definition_similarity=0.790; lexical_overlap=0	multiword lexical phrase; V4 lexical/POS form accepted	en_wiktionary_sense_bound_uk_translation=>'бомбардува́ння';sense_gloss='action of dropping bombs from the air';reverse='bombing';glossDef=0.790;candDef=0.743;revDef=0.694;lex=1.000;morph=multiword value retained; no silent token-level lemma rewrite;decision=BLOCKED:sense-bound bilingual confirmation did not survive alignment gate || en_wiktionary_sense_bound_uk_translation=>'бомбува́ння';sense_gloss='action of dropping bombs from the air';reverse='bombing';glossDef=0.790;candDef=0.764;revDef=0.694;lex=1.000;morph=multiword value retained; no silent token-level lemma rewrite;decision=BLOCKED:sense-bound bilingual confirmation did not survive alignment gate || en_wiktionary_sense_bound_uk_translation=>'тера́кт';sense_gloss='action of placing and detonating bombs';reverse='teraʹk';glossDef=0.778;candDef=0.421;revDef=0.223;lex=0.000;morph=multiword value retained; no silent token-level lemma rewrite;decision=BLOCKED:semantic role mismatch: Oxford definition requires process, reverse candidate looks generic || Helsinki-NLP/opus-mt-en-uk_surface_candidate=>'бомбардування';sense_gloss='';reverse='bombing';glossDef=1.000;candDef=0.714;revDef=0.694;lex=1.000;morph=pymorphy3 uk canonical form retained; tag=NOUN,inan neut,nomn; score=1.0000;decision=BLOCKED:surface MT is candidate generation only; no independent sense-specific bilingual confirmation for this lexical value	BLOCKED V5: sense-bound bilingual confirmation did not survive alignment gate; exact Oxford definition='an occasion when a bomb is dropped or left somewhere; the act of doing this'.
ox5000-0324076e988934c9c7ca	booking	noun	B2	https://www.oxfordlearnersdictionaries.com/us/definition/english/booking	/us/definition/english/booking	an arrangement that you make in advance to buy a ticket to travel somewhere, go to the theatre, etc.	резервува́ння	en_wiktionary_sense_bound_uk_translation	English Wiktionary	reservation for a service	gloss_definition_similarity=0.483; lexical_overlap=0	multiword lexical phrase; V4 lexical/POS form accepted	en_wiktionary_sense_bound_uk_translation=>'резервува́ння';sense_gloss='reservation for a service';reverse='reserve';glossDef=0.483;candDef=0.399;revDef=0.185;lex=0.000;morph=multiword value retained; no silent token-level lemma rewrite;decision=BLOCKED:sense-specific Wiktionary gloss does not align with exact Oxford definition; gloss_similarity=0.483; lexical_overlap=0 || en_wiktionary_sense_bound_uk_translation=>'бронюва́ння';sense_gloss='reservation for a service';reverse='armor';glossDef=0.483;candDef=0.072;revDef=0.120;lex=0.167;morph=multiword value retained; no silent token-level lemma rewrite;decision=BLOCKED:sense-specific Wiktionary gloss does not align with exact Oxford definition; gloss_similarity=0.483; lexical_overlap=0 || Helsinki-NLP/opus-mt-en-uk_surface_candidate=>'записування';sense_gloss='';reverse='recording';glossDef=1.000;candDef=0.214;revDef=0.083;lex=0.500;morph=pymorphy3 uk canonical form retained; tag=NOUN,inan neut,nomn; score=1.0000;decision=BLOCKED:surface MT is candidate generation only; no independent sense-specific bilingual confirmation for this lexical value	BLOCKED V5: sense-specific Wiktionary gloss does not align with exact Oxford definition; gloss_similarity=0.483; lexical_overlap=0; exact Oxford definition='an arrangement that you make in advance to buy a ticket to travel somewhere, go to the theatre, etc.'.
ox5000-00636bc1e91847dc273e	boost	noun	B2	https://www.oxfordlearnersdictionaries.com/us/definition/english/boost_2	/us/definition/english/boost_2	something that helps or encourages somebody/something	Підсилення	Helsinki-NLP/opus-mt-en-uk_surface_candidate			gloss_definition_similarity=1.000; lexical_overlap=0	pymorphy3 uk canonical lemma PASS; tag=NOUN,inan neut,nomn; score=1.0000	Helsinki-NLP/opus-mt-en-uk_surface_candidate=>'Підсилення';sense_gloss='';reverse='Gain';glossDef=1.000;candDef=0.226;revDef=0.243;lex=0.000;morph=pymorphy3 uk canonical form retained; tag=NOUN,inan neut,nomn; score=1.0000;decision=BLOCKED:semantic role mismatch: Oxford definition requires person, reverse candidate looks generic	BLOCKED V5: semantic role mismatch: Oxford definition requires person, reverse candidate looks generic; exact Oxford definition='something that helps or encourages somebody/something'.
ox5000-c0b4a3f25a5eb7edbd5f	boost	verb	B2	https://www.oxfordlearnersdictionaries.com/us/definition/english/boost_1	/us/definition/english/boost_1	to make something increase, or become better or more successful	Підсилення	Helsinki-NLP/opus-mt-en-uk_surface_candidate			gloss_definition_similarity=1.000; lexical_overlap=0	pymorphy3 uk has no requested-POS parse for 'Підсилення'	Helsinki-NLP/opus-mt-en-uk_surface_candidate=>'Підсилення';sense_gloss='';reverse='Gain';glossDef=1.000;candDef=0.493;revDef=0.464;lex=0.000;morph=no Ukrainian morphology parse matching requested POS;decision=BLOCKED:verb candidate is not an appropriate Ukrainian infinitive/verb phrase	BLOCKED V5: verb candidate is not an appropriate Ukrainian infinitive/verb phrase; exact Oxford definition='to make something increase, or become better or more successful'.
ox5000-1f5a6ea35a13b0e40dd1	bound	adjective	B2	https://www.oxfordlearnersdictionaries.com/us/definition/english/bound_1	/us/definition/english/bound_1	certain or likely to happen, or to do or be something	прив' язаний	Helsinki-NLP/opus-mt-en-uk_surface_candidate			gloss_definition_similarity=1.000; lexical_overlap=0	adjective candidate has no plausible Ukrainian adjective morphology	"Helsinki-NLP/opus-mt-en-uk_surface_candidate=>""прив' язаний"";sense_gloss='';reverse='bound';glossDef=1.000;candDef=0.209;revDef=0.126;lex=1.000;morph=multiword value retained; no silent token-level lemma rewrite;decision=BLOCKED:adjective candidate has no plausible Ukrainian adjective morphology"	BLOCKED V5: adjective candidate has no plausible Ukrainian adjective morphology; exact Oxford definition='certain or likely to happen, or to do or be something'.
ox5000-f36df4a285a808895f17	brick	noun	B2	https://www.oxfordlearnersdictionaries.com/us/definition/english/brick_1	/us/definition/english/brick_1	baked clay used for building walls, houses and other buildings; an individual block of this	цегли́на	en_wiktionary_sense_bound_uk_translation	English Wiktionary	hardened block used for building	gloss_definition_similarity=0.604; lexical_overlap=3	multiword lexical phrase; V4 lexical/POS form accepted	en_wiktionary_sense_bound_uk_translation=>'цегли́на';sense_gloss='hardened block used for building';reverse='brick';glossDef=0.604;candDef=0.192;revDef=0.540;lex=1.000;morph=multiword value retained; no silent token-level lemma rewrite;decision=BLOCKED:sense-bound bilingual confirmation did not survive alignment gate || en_wiktionary_sense_bound_uk_translation=>'це́гла';sense_gloss='hardened block used for building';reverse='brick';glossDef=0.604;candDef=0.150;revDef=0.540;lex=1.000;morph=multiword value retained; no silent token-level lemma rewrite;decision=BLOCKED:sense-bound bilingual confirmation did not survive alignment gate || en_wiktionary_sense_bound_uk_translation=>'це́гла';sense_gloss='a building material';reverse='brick';glossDef=0.588;candDef=0.150;revDef=0.540;lex=1.000;morph=multiword value retained; no silent token-level lemma rewrite;decision=BLOCKED:sense-bound bilingual confirmation did not survive alignment gate || en_wiktionary_sense_bound_uk_translation=>'цегля́стий';sense_gloss='color';reverse='brick';glossDef=0.149;candDef=0.178;revDef=0.540;lex=1.000;morph=multiword value retained; no silent token-level lemma rewrite;decision=BLOCKED:sense-specific Wiktionary gloss does not align with exact Oxford definition; gloss_similarity=0.149; lexical_overlap=0 || en_wiktionary_sense_bound_uk_translation=>'цегли́стий';sense_gloss='color';reverse='brick';glossDef=0.149;candDef=0.246;revDef=0.540;lex=1.000;morph=multiword value retained; no silent token-level lemma rewrite;decision=BLOCKED:sense-specific Wiktionary gloss does not align with exact Oxford definition; gloss_similarity=0.149; lexical_overlap=0 || en_wiktionary_sense_bound_uk_translation=>'цегляни́й';sense_gloss='color';reverse='brick';glossDef=0.149;candDef=0.125;revDef=0.540;lex=1.000;morph=multiword value retained; no silent token-level lemma rewrite;decision=BLOCKED:sense-specific Wiktionary gloss does not align with exact Oxford definition; gloss_similarity=0.149; lexical_overlap=0 || en_wiktionary_sense_bound_uk_translation=>'цегло́ви́й';sense_gloss='color';reverse='cahlo·vaiʹ';glossDef=0.149;candDef=0.141;revDef=0.138;lex=0.143;morph=multiword value retained; no silent token-level lemma rewrite;decision=BLOCKED:sense-specific Wiktionary gloss does not align with exact Oxford definition; gloss_similarity=0.149; lexical_overlap=0 || Helsinki-NLP/opus-mt-en-uk_surface_candidate=>'блок';sense_gloss='';reverse='block';glossDef=1.000;candDef=0.357;revDef=0.320;lex=0.600;morph=pymorphy3 uk canonical form retained; tag=NOUN,inan masc,nomn; score=1.0000;decision=BLOCKED:surface MT is candidate generation only; no independent sense-specific bilingual confirmation for this lexical value	BLOCKED V5: sense-bound bilingual confirmation did not survive alignment gate; exact Oxford definition='baked clay used for building walls, houses and other buildings; an individual block of this'.
ox5000-c8c42d98d7e616f8064a	briefly	adverb	B2	https://www.oxfordlearnersdictionaries.com/us/definition/english/briefly	/us/definition/english/briefly	for a short time	короткий час	Helsinki-NLP/opus-mt-en-uk_surface_candidate			gloss_definition_similarity=1.000; lexical_overlap=0	multiword adverb candidate is not an adverbial phrase	Helsinki-NLP/opus-mt-en-uk_surface_candidate=>'короткий час';sense_gloss='';reverse='short time';glossDef=1.000;candDef=0.879;revDef=0.799;lex=0.353;morph=multiword value retained; no silent token-level lemma rewrite;decision=BLOCKED:multiword adverb candidate is not an adverbial phrase	BLOCKED V5: multiword adverb candidate is not an adverbial phrase; exact Oxford definition='for a short time'.
ox5000-a29b52dd76fad8a77358	broadcaster	noun	B2	https://www.oxfordlearnersdictionaries.com/us/definition/english/broadcaster	/us/definition/english/broadcaster	a person whose job is presenting or talking on television or radio programmes	мо́вник	en_wiktionary_sense_bound_uk_translation	English Wiktionary	organization or station that engages in the activity of such broadcasting	gloss_definition_similarity=0.631; lexical_overlap=0	multiword lexical phrase; V4 lexical/POS form accepted	en_wiktionary_sense_bound_uk_translation=>'мо́вник';sense_gloss='organization or station that engages in the activity of such broadcasting';reverse='movnik';glossDef=0.631;candDef=0.273;revDef=0.341;lex=0.118;morph=multiword value retained; no silent token-level lemma rewrite;decision=BLOCKED:semantic role mismatch: Oxford definition requires person, reverse candidate looks generic || Helsinki-NLP/opus-mt-en-uk_surface_candidate=>'трансляція';sense_gloss='';reverse='broadcast';glossDef=1.000;candDef=0.428;revDef=0.512;lex=1.000;morph=pymorphy3 uk canonical form retained; tag=NOUN,inan femn,nomn; score=1.0000;decision=BLOCKED:semantic role mismatch: Oxford definition requires person, reverse candidate looks generic	BLOCKED V5: semantic role mismatch: Oxford definition requires person, reverse candidate looks generic; exact Oxford definition='a person whose job is presenting or talking on television or radio programmes'.
ox5000-c665d95862829f444fe3	broadly	adverb	B2	https://www.oxfordlearnersdictionaries.com/us/definition/english/broadly	/us/definition/english/broadly	generally, without considering details	Широко	Helsinki-NLP/opus-mt-en-uk_surface_candidate			gloss_definition_similarity=1.000; lexical_overlap=0	pymorphy3 uk canonical lemma PASS; tag=ADVB,compb; score=1.0000	Helsinki-NLP/opus-mt-en-uk_surface_candidate=>'Широко';sense_gloss='';reverse='Wide';glossDef=1.000;candDef=0.437;revDef=0.228;lex=0.182;morph=pymorphy3 uk canonical form retained; tag=ADVB,compb; score=1.0000;decision=BLOCKED:surface MT is candidate generation only; no independent sense-specific bilingual confirmation for this lexical value	BLOCKED V5: surface MT is candidate generation only; no independent sense-specific bilingual confirmation for this lexical value; exact Oxford definition='generally, without considering details'.
