entry_id	source	part_of_speech	level	official_source	status	ukrainian
ox5000-db076b9400cacc3f7fb8	boast	verb	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	pending_translation_qa	
ox5000-8f0ed664899bd225816b	bonus	noun	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	pending_translation_qa	
ox5000-4cadda5d497c243f04bd	boom	noun	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	pending_translation_qa	
ox5000-cc303d16556997dcb367	bounce	verb	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	pending_translation_qa	
ox5000-f9fc8c0ab06840b8ff58	boundary	noun	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	pending_translation_qa	
ox5000-14416f46590f3420f569	bow	noun	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	pending_translation_qa	
ox5000-b58b47c1feeb48c80723	bow	verb	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	pending_translation_qa	
ox5000-2c871dec7cccdb002239	breach	noun	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	pending_translation_qa	
ox5000-5e025e69abf6683bcf24	breach	verb	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	pending_translation_qa	
ox5000-9b78c6077c15e52f15be	breakdown	noun	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	pending_translation_qa	
ox5000-d941f5f50ff975a945d7	breakthrough	noun	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	pending_translation_qa	
ox5000-b9993d4c99a9f849c1d4	breed	noun	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	pending_translation_qa	
ox5000-b9cb88631051d37db579	breed	verb	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	pending_translation_qa	
ox5000-67a79cc4e17bb5afbf6c	broadband	noun	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	pending_translation_qa	
ox5000-26cd0cf061848d3d92f4	browser	noun	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	pending_translation_qa	
ox5000-3331dd679811dcdc9e1c	brutal	adjective	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	pending_translation_qa	
ox5000-7342cb09eb56d21dc10e	buck	noun	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	pending_translation_qa	
ox5000-cf52755b618187109f27	buddy	noun	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	pending_translation_qa	
ox5000-7e4d11c171e4e53352bf	buffer	noun	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	pending_translation_qa	
ox5000-52805cf7943aa7fe8e23	bulk	noun	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	pending_translation_qa	
ox5000-c796c16f4ce7de052d8e	burden	noun	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	pending_translation_qa	
ox5000-4538a2970d54d7b95e44	bureaucracy	noun	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	pending_translation_qa	
ox5000-b6935f8364845c029667	burial	noun	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	pending_translation_qa	
ox5000-f67a5f6ab6ab56d73289	burst	verb	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	pending_translation_qa	
ox5000-4b2c9dc2dc944db7f557	cabinet	noun	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	pending_translation_qa	
ox5000-f88d4c7860c2d980aa83	calculation	noun	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	pending_translation_qa	
ox5000-20e4cf8f984b9edae448	canvas	noun	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	pending_translation_qa	
ox5000-55180a7d1866eb488c28	capability	noun	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	pending_translation_qa	
ox5000-84a7edecbd2e7b9327a5	capitalism	noun	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	pending_translation_qa	
ox5000-ef9e0bc489875de07f7e	capitalist	adjective	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	pending_translation_qa	
ox5000-29a06f467b280fdb0519	cargo	noun	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	pending_translation_qa	
ox5000-aec77bad98885a9b3b7d	carriage	noun	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	pending_translation_qa	
ox5000-f87ef886f83ede33e95e	carve	verb	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	pending_translation_qa	
ox5000-6569b74cc26697e18f5a	casino	noun	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	pending_translation_qa	
ox5000-7631ebabb093a598b888	casualty	noun	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	pending_translation_qa	
ox5000-67f8ffc18a77f8aac3c3	catalogue	noun	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	pending_translation_qa	
ox5000-814a77d4fc1182283577	cater	verb	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	pending_translation_qa	
ox5000-5e1babc55965ffe6450b	cattle	noun	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	pending_translation_qa	
ox5000-75d89c692ff82940bf09	caution	noun	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	pending_translation_qa	
ox5000-4ac92143a329350310de	cautious	adjective	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	pending_translation_qa	
ox5000-809055f480db1279752c	cease	verb	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	pending_translation_qa	
ox5000-e471f481afe63df5f11b	cemetery	noun	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	pending_translation_qa	
ox5000-787b0c10e18a97247b65	chamber	noun	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	pending_translation_qa	
