entry_id	source	part_of_speech	level	official_source	status	ukrainian
ox5000-a8caa45d249d69aa780b	chaos	noun	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	pending_translation_qa	
ox5000-265bbd8fbebccca0a94a	characterize	verb	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	pending_translation_qa	
ox5000-4b68bbde48f0b2c13196	charm	noun	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	pending_translation_qa	
ox5000-c623ded29399d5c1a04e	charter	noun	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	pending_translation_qa	
ox5000-7becff387347da686538	chronic	adjective	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	pending_translation_qa	
ox5000-2b1cccbdccaa22468fac	chunk	noun	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	pending_translation_qa	
ox5000-aac4beb8b1396aa1297b	circulate	verb	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	pending_translation_qa	
ox5000-dc057ad3e42fc206ce4a	circulation	noun	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	pending_translation_qa	
ox5000-453023ff9a9e0432ef05	citizenship	noun	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	pending_translation_qa	
ox5000-0ef1f794282d9ebadb4e	civic	adjective	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	pending_translation_qa	
ox5000-1198d95920a168b3eeea	civilian	adjective	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	pending_translation_qa	
ox5000-3e9be13739fe23d8a3ee	civilian	noun	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	pending_translation_qa	
ox5000-ed2b78b49194fdf96e74	clarity	noun	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	pending_translation_qa	
ox5000-c6fb6687680fe421ba3f	clash	noun	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	pending_translation_qa	
ox5000-ca561647c6a3df8de2fb	classification	noun	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	pending_translation_qa	
ox5000-d05412d07ae52a428d1e	cling	verb	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	pending_translation_qa	
ox5000-4214b46205fa458fcb72	clinical	adjective	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	pending_translation_qa	
ox5000-1f0384b345766d6b34d0	closure	noun	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	pending_translation_qa	
ox5000-fde11ccd6d8d3fcb99ae	cluster	noun	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	pending_translation_qa	
ox5000-bfa50ea4b3edda12d893	coalition	noun	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	pending_translation_qa	
ox5000-7a751ce299c260aef0b3	coastal	adjective	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	pending_translation_qa	
ox5000-4c96d0ea6d1599aeb7dd	cocktail	noun	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	pending_translation_qa	
ox5000-ab79b3cda04a10ae4912	cognitive	adjective	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	pending_translation_qa	
ox5000-608bf1699ee107877070	coincide	verb	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	pending_translation_qa	
ox5000-fc1e2a473469c89bc46d	collaborate	verb	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	pending_translation_qa	
ox5000-6dd5604967f750a27695	collaboration	noun	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	pending_translation_qa	
ox5000-8606431c85d372c293c5	collective	adjective	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	pending_translation_qa	
ox5000-0f4fb9490644c06511ee	collision	noun	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	pending_translation_qa	
ox5000-76c72599796270227fe1	colonial	adjective	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	pending_translation_qa	
