entry_id	source	part_of_speech	level	official_source	status	ukrainian	source_check
ox5000-f2bc4c15741699d0ceeb	columnist	noun	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	колумніст; автор газетної або журнальної колонки	Oxford 5000 list POS/CEFR confirmed 2026-08-18; person who writes a regular newspaper or magazine column.
ox5000-dac0709619c2972a170a	combat	noun	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	бій; боротьба; бойові дії	Oxford 5000 list POS/CEFR confirmed 2026-08-18; fighting and struggle noun senses retained.
ox5000-dc5953425d7fd29e689c	combat	verb	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	боротися; протидіяти	Oxford 5000 list POS/CEFR confirmed 2026-08-18; fight against or take action to reduce a problem.
ox5000-1971c3b87d26a3c1403e	commence	verb	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	розпочинати; починатися	Oxford 5000 list POS/CEFR confirmed 2026-08-18; formal begin/start verb sense retained.
ox5000-c4e28d5d37d9ef418fdc	commentary	noun	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	коментар; коментування; огляд	Oxford 5000 list POS/CEFR confirmed 2026-08-18; spoken/written description or discussion noun senses retained.
ox5000-8ba825af997e87ad79af	commentator	noun	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	коментатор; оглядач	Oxford 5000 list POS/CEFR confirmed 2026-08-18; person who comments on events or broadcasts.
ox5000-9f899cad2cf4b9a9c2e0	commerce	noun	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	торгівля; комерція	Oxford 5000 list POS/CEFR confirmed 2026-08-18; trade/business activity noun sense retained.
ox5000-6ec8c915f280bd29876e	commissioner	noun	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	уповноважений; комісар	Oxford 5000 list POS/CEFR confirmed 2026-08-18; official with authority/responsibility noun senses retained.
ox5000-2ae9f1264e046571d9c4	commodity	noun	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	товар; сировинний товар	Oxford 5000 list POS/CEFR confirmed 2026-08-18; product/raw material traded commercially.
ox5000-499b5256946f03e35796	communist	adjective	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	комуністичний	Oxford 5000 list POS/CEFR confirmed 2026-08-18; relating to communism adjective sense retained.
ox5000-778ceb22e71d8602346c	companion	noun	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	супутник; компаньйон; товариш	Oxford 5000 list POS/CEFR confirmed 2026-08-18; person/thing accompanying another noun senses retained.
ox5000-7fecf96cb49e01dd18cd	comparable	adjective	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	порівнянний; зіставний	Oxford 5000 list POS/CEFR confirmed 2026-08-18; able or appropriate to be compared adjective sense retained.
ox5000-5f14e76dd8c85cd69252	compassion	noun	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	співчуття; милосердя	Oxford 5000 list POS/CEFR confirmed 2026-08-18; sympathetic concern for suffering noun sense retained.
ox5000-5bc26010dfc1741f348f	compel	verb	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	змушувати; примушувати	Oxford 5000 list POS/CEFR confirmed 2026-08-18; force somebody to do something verb sense retained.
ox5000-e14db9805867d8f41c5d	compelling	adjective	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	переконливий; захопливий; вагомий	Oxford 5000 list POS/CEFR confirmed 2026-08-18; convincing/strongly interesting adjective senses retained.
ox5000-76c7bd5dcd0f6554e78e	compensate	verb	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	компенсувати; відшкодовувати	Oxford 5000 list POS/CEFR confirmed 2026-08-18; provide something to make up for loss/disadvantage.
ox5000-1679de09f00807c64828	compensation	noun	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	компенсація; відшкодування	Oxford 5000 list POS/CEFR confirmed 2026-08-18; payment or balancing for loss/disadvantage.
ox5000-4827466c6bbb3fbd1b7a	competence	noun	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	компетентність; здатність	Oxford 5000 list POS/CEFR confirmed 2026-08-18; ability/skill to do something effectively.
ox5000-b77da1841f0f285f1336	competent	adjective	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	компетентний; кваліфікований; достатньо здібний	Oxford 5000 list POS/CEFR confirmed 2026-08-18; having sufficient skill/ability adjective sense retained.
ox5000-9f0da23e79ac7d997981	compile	verb	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	укладати; складати; компілювати	Oxford 5000 list POS/CEFR confirmed 2026-08-18; collect information into a work/list and computing compile senses retained.
ox5000-de90f247cc439f80f1bf	complement	verb	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	доповнювати; вдало поєднуватися з	Oxford 5000 list POS/CEFR confirmed 2026-08-18; add to or combine well with something verb sense retained.
ox5000-537160d68286c5fec3e0	complexity	noun	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	складність; комплексність	Oxford 5000 list POS/CEFR confirmed 2026-08-18; state/quality of being complex noun sense retained.
ox5000-73ae16b71626acf3b3ef	compliance	noun	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	дотримання вимог; відповідність; згода	Oxford 5000 list POS/CEFR confirmed 2026-08-18; obeying rules/requests and conformity noun senses retained.
ox5000-b32f7d4d16433613437e	complication	noun	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	ускладнення; складність	Oxford 5000 list POS/CEFR confirmed 2026-08-18; additional problem/medical complication noun senses retained.
ox5000-cfe5335a57dee72c3642	comply	verb	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	дотримуватися; виконувати вимогу	Oxford 5000 list POS/CEFR confirmed 2026-08-18; act according to a rule/request verb sense retained.
ox5000-7c5848f17e3932eaace1	composition	noun	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	склад; композиція; твір	Oxford 5000 list POS/CEFR confirmed 2026-08-18; makeup/arrangement and written or musical work senses retained.
ox5000-b02e6753258e1062aca0	compromise	noun	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	компроміс	Oxford 5000 list POS/CEFR confirmed 2026-08-18; agreement reached through mutual concessions noun sense retained.
ox5000-0057676035ce2d45ffee	compromise	verb	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	йти на компроміс; ставити під загрозу	Oxford 5000 list POS/CEFR confirmed 2026-08-18; settle by concession and weaken/endanger verb senses retained.
ox5000-224a3edb015f4a892083	compute	verb	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	обчислювати; розраховувати	Oxford 5000 list POS/CEFR confirmed 2026-08-18; calculate using numbers/computation verb sense retained.
