entry_id	source	part_of_speech	level	official_source	status	ukrainian	source_check
ox5000-58684aa9932b4a438414	conceal	verb	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	приховувати; ховати	Oxford 5000 list POS/CEFR confirmed 2026-08-18; Oxford Advanced Learner's Dictionary headword/POS/definition checked; Ukrainian gloss preserves principal listed senses.
ox5000-4310adfcfe5d8e687ffb	concede	verb	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	визнавати; поступатися; віддавати	Oxford 5000 list POS/CEFR confirmed 2026-08-18; Oxford Advanced Learner's Dictionary headword/POS/definition checked; Ukrainian gloss preserves principal listed senses.
ox5000-a4a82af5b818c096552a	conceive	verb	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	уявляти; задумувати; зачати	Oxford 5000 list POS/CEFR confirmed 2026-08-18; Oxford Advanced Learner's Dictionary headword/POS/definition checked; Ukrainian gloss preserves principal listed senses.
ox5000-5e95214e6c436f6d9b02	conception	noun	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	уявлення; концепція; зачаття	Oxford 5000 list POS/CEFR confirmed 2026-08-18; Oxford Advanced Learner's Dictionary headword/POS/definition checked; Ukrainian gloss preserves principal listed senses.
ox5000-71d82a70f88b8db03cd1	concession	noun	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	поступка; концесія; пільга	Oxford 5000 list POS/CEFR confirmed 2026-08-18; Oxford Advanced Learner's Dictionary headword/POS/definition checked; Ukrainian gloss preserves principal listed senses.
ox5000-a0a4cef3bd36bf660fee	condemn	verb	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	засуджувати; прирікати	Oxford 5000 list POS/CEFR confirmed 2026-08-18; Oxford Advanced Learner's Dictionary headword/POS/definition checked; Ukrainian gloss preserves principal listed senses.
ox5000-1e13f770c68ade8bf4a9	confer	verb	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	радитися; надавати; присуджувати	Oxford 5000 list POS/CEFR confirmed 2026-08-18; Oxford Advanced Learner's Dictionary headword/POS/definition checked; Ukrainian gloss preserves principal listed senses.
ox5000-0a81d54211323d59be37	confession	noun	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	зізнання; сповідь	Oxford 5000 list POS/CEFR confirmed 2026-08-18; Oxford Advanced Learner's Dictionary headword/POS/definition checked; Ukrainian gloss preserves principal listed senses.
ox5000-461620d7313059fda716	configuration	noun	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	конфігурація; розташування	Oxford 5000 list POS/CEFR confirmed 2026-08-18; Oxford Advanced Learner's Dictionary headword/POS/definition checked; Ukrainian gloss preserves principal listed senses.
ox5000-63f125255d6cb736e20f	confine	verb	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	обмежувати; замикати; тримати в межах	Oxford 5000 list POS/CEFR confirmed 2026-08-18; Oxford Advanced Learner's Dictionary headword/POS/definition checked; Ukrainian gloss preserves principal listed senses.
ox5000-58f377291e9f3b88a0fc	confirmation	noun	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	підтвердження	Oxford 5000 list POS/CEFR confirmed 2026-08-18; Oxford Advanced Learner's Dictionary headword/POS/definition checked; Ukrainian gloss preserves principal listed senses.
ox5000-187842ee4737bc795861	confront	verb	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	протистояти; стикатися віч-на-віч	Oxford 5000 list POS/CEFR confirmed 2026-08-18; Oxford Advanced Learner's Dictionary headword/POS/definition checked; Ukrainian gloss preserves principal listed senses.
ox5000-3064e92878163630a37e	confrontation	noun	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	протистояння; конфронтація	Oxford 5000 list POS/CEFR confirmed 2026-08-18; Oxford Advanced Learner's Dictionary headword/POS/definition checked; Ukrainian gloss preserves principal listed senses.
ox5000-1ad84ec482959bab18c6	congratulate	verb	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	вітати; поздоровляти	Oxford 5000 list POS/CEFR confirmed 2026-08-18; Oxford Advanced Learner's Dictionary headword/POS/definition checked; Ukrainian gloss preserves principal listed senses.
ox5000-2bf5b8028db879b7343b	congregation	noun	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	громада; зібрання вірян	Oxford 5000 list POS/CEFR confirmed 2026-08-18; Oxford Advanced Learner's Dictionary headword/POS/definition checked; Ukrainian gloss preserves principal listed senses.
ox5000-5d87981adba9c2d89d42	congressional	adjective	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	конгресовий; пов'язаний із Конгресом	Oxford 5000 list POS/CEFR confirmed 2026-08-18; Oxford Advanced Learner's Dictionary headword/POS/definition checked; Ukrainian gloss preserves principal listed senses.
ox5000-c4f9876aea3043b07a2f	conquer	verb	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	завойовувати; підкорювати; долати	Oxford 5000 list POS/CEFR confirmed 2026-08-18; Oxford Advanced Learner's Dictionary headword/POS/definition checked; Ukrainian gloss preserves principal listed senses.
ox5000-cf06da9a0ed04d663e69	conscience	noun	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	совість	Oxford 5000 list POS/CEFR confirmed 2026-08-18; Oxford Advanced Learner's Dictionary headword/POS/definition checked; Ukrainian gloss preserves principal listed senses.
ox5000-3624031998b0465d73fb	consciousness	noun	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	свідомість; усвідомлення	Oxford 5000 list POS/CEFR confirmed 2026-08-18; Oxford Advanced Learner's Dictionary headword/POS/definition checked; Ukrainian gloss preserves principal listed senses.
ox5000-5b47ddf370e543f3111b	consecutive	adjective	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	послідовний; підряд	Oxford 5000 list POS/CEFR confirmed 2026-08-18; Oxford Advanced Learner's Dictionary headword/POS/definition checked; Ukrainian gloss preserves principal listed senses.
ox5000-32a56e70d94f65d1ef69	consensus	noun	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	консенсус; загальна згода	Oxford 5000 list POS/CEFR confirmed 2026-08-18; Oxford Advanced Learner's Dictionary headword/POS/definition checked; Ukrainian gloss preserves principal listed senses.
ox5000-ec856ad9dcc988e8adb5	consent	noun	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	згода; дозвіл	Oxford 5000 list POS/CEFR confirmed 2026-08-18; Oxford Advanced Learner's Dictionary headword/POS/definition checked; Ukrainian gloss preserves principal listed senses.
ox5000-0b00de8a5f6b9f612ec9	consent	verb	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	погоджуватися; давати згоду	Oxford 5000 list POS/CEFR confirmed 2026-08-18; Oxford Advanced Learner's Dictionary headword/POS/definition checked; Ukrainian gloss preserves principal listed senses.
ox5000-8af4e61cccb5ac34483d	conserve	verb	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	зберігати; охороняти; заощаджувати	Oxford 5000 list POS/CEFR confirmed 2026-08-18; Oxford Advanced Learner's Dictionary headword/POS/definition checked; Ukrainian gloss preserves principal listed senses.
ox5000-1398f2e212fec85f3123	consistency	noun	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	послідовність; узгодженість; консистенція	Oxford 5000 list POS/CEFR confirmed 2026-08-18; Oxford Advanced Learner's Dictionary headword/POS/definition checked; Ukrainian gloss preserves principal listed senses.
ox5000-41a41b7e777c0980d887	consolidate	verb	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	зміцнювати; консолідувати; об'єднувати	Oxford 5000 list POS/CEFR confirmed 2026-08-18; Oxford Advanced Learner's Dictionary headword/POS/definition checked; Ukrainian gloss preserves principal listed senses.
ox5000-706bb40d01775c9f7966	constituency	noun	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	виборчий округ; електорат	Oxford 5000 list POS/CEFR confirmed 2026-08-18; Oxford Advanced Learner's Dictionary headword/POS/definition checked; Ukrainian gloss preserves principal listed senses.
ox5000-b1be55b1d93cef48ad7d	constitute	verb	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	становити; утворювати; засновувати	Oxford 5000 list POS/CEFR confirmed 2026-08-18; Oxford Advanced Learner's Dictionary headword/POS/definition checked; Ukrainian gloss preserves principal listed senses.
ox5000-05097a345f47aaf3036b	constitution	noun	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	конституція; устрій; склад	Oxford 5000 list POS/CEFR confirmed 2026-08-18; Oxford Advanced Learner's Dictionary headword/POS/definition checked; Ukrainian gloss preserves principal listed senses.
