entry_id	source	part_of_speech	level	official_source	status	ukrainian	source_check
ox5000-f2c09bd1fd0d7b34978a	constitutional	adjective	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	конституційний	Oxford 5000 list POS/CEFR confirmed 2026-08-19; Ukrainian gloss reviewed conservatively against Oxford headword sense.
ox5000-c7703a7a71c18460e484	constraint	noun	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	обмеження; стримувальний чинник	Oxford 5000 list POS/CEFR confirmed 2026-08-19; Ukrainian gloss preserves principal sense range without collapsing lexical identity.
ox5000-b5621516a3d134b94e42	consultation	noun	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	консультація; нарада	Oxford 5000 list POS/CEFR confirmed 2026-08-19; Ukrainian gloss preserves principal sense range.
ox5000-33b1e4aadad70afa40df	contemplate	verb	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	обмірковувати; розглядати; споглядати	Oxford 5000 list POS/CEFR confirmed 2026-08-19; Ukrainian gloss preserves principal sense range.
ox5000-3867b618aba171d42895	contempt	noun	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	презирство; неповага	Oxford 5000 list POS/CEFR confirmed 2026-08-19; Ukrainian gloss preserves principal sense range.
ox5000-2a347f104b97ef48ef53	contend	verb	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	стверджувати; боротися; змагатися	Oxford 5000 list POS/CEFR confirmed 2026-08-19; Oxford headword checked for argue/compete senses; Ukrainian gloss preserves both.
ox5000-f0279604069ca6d41661	contender	noun	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	претендент; суперник	Oxford 5000 list POS/CEFR confirmed 2026-08-19; Ukrainian gloss preserves principal sense range.
ox5000-52756c2973caea5a0fc0	content	adjective	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	задоволений; вдоволений	Oxford 5000 list POS/CEFR confirmed 2026-08-19; Oxford adjective headword checked: happy/satisfied sense retained and kept distinct from content noun.
ox5000-11f1a81d9be1d3027c64	contention	noun	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	суперечка; твердження	Oxford 5000 list POS/CEFR confirmed 2026-08-19; Oxford headword checked for dispute and asserted-opinion senses; Ukrainian gloss preserves both.
ox5000-35c3207ec5e5a57423e6	continually	adverb	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	постійно; раз у раз	Oxford 5000 list POS/CEFR confirmed 2026-08-19; Ukrainian gloss preserves repeated/continuing use.
ox5000-50c66f196c3a20f8cdf3	contractor	noun	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	підрядник	Oxford 5000 list POS/CEFR confirmed 2026-08-19; direct Ukrainian lexical equivalent.
ox5000-fa6cf5ee053e890313db	contradiction	noun	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	суперечність; протиріччя	Oxford 5000 list POS/CEFR confirmed 2026-08-19; Oxford headword checked for inconsistency/denial senses.
ox5000-4ec298baeaa1a4a676b0	contrary	adjective	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	протилежний; суперечний	Oxford 5000 list POS/CEFR confirmed 2026-08-19; Oxford adjective headword checked and kept distinct from noun.
ox5000-8395d400e438580b7817	contrary	noun	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	протилежне	Oxford 5000 list POS/CEFR confirmed 2026-08-19; Oxford noun headword checked: opposite fact/event/situation sense retained.
