entry_id	source	part_of_speech	level	official_source	status	ukrainian	source_check
ox5000-631b496a27a592f29177	correspond	verb	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	відповідати; узгоджуватися; листуватися	Oxford 5000 list POS/CEFR confirmed 2026-08-19; OALD headword reviewed for match/similarity and correspondence-by-writing senses.
ox5000-44384645c106b787f897	correspondence	noun	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	листування; відповідність	Oxford 5000 list POS/CEFR confirmed 2026-08-19; OALD headword reviewed for letters/messages and matching sense range.
ox5000-47f555dbb39013e437a6	correspondent	noun	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	кореспондент; особа, що листується	Oxford 5000 list POS/CEFR confirmed 2026-08-19; journalist and person-corresponding uses preserved.
ox5000-3921f44b88ad63fb1cb4	corresponding	adjective	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	відповідний; співвідносний	Oxford 5000 list POS/CEFR confirmed 2026-08-19; matching/related sense retained.
ox5000-33d1b4d048ae858ceaa8	costly	adjective	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	дорогий; витратний	Oxford 5000 list POS/CEFR confirmed 2026-08-19; principal high-cost sense retained.
ox5000-de1d2ead5328049a6c8a	councillor	noun	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	член ради; місцевий депутат	Oxford 5000 list POS/CEFR confirmed 2026-08-19; local-government council-member sense retained.
ox5000-5e97739ae4791edb129e	counselling	noun	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	консультування; психологічна допомога	Oxford 5000 list POS/CEFR confirmed 2026-08-19; advice/therapeutic counselling sense range preserved.
ox5000-44fcacb136269546e88a	counsellor	noun	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	консультант; психолог-консультант	Oxford 5000 list POS/CEFR confirmed 2026-08-19; person-providing-counselling sense preserved.
ox5000-9db773c2d55fe19ff774	counter	verb	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	заперечувати; протидіяти	Oxford 5000 list POS/CEFR confirmed 2026-08-19; OALD verb headword reviewed for rebuttal and counteract senses.
ox5000-07c750b602f198a3c8d3	counterpart	noun	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	відповідник; аналог	Oxford 5000 list POS/CEFR confirmed 2026-08-19; corresponding person/thing sense retained.
ox5000-766c6ad52e206733d1f4	countless	adjective	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	незліченний; незліченні	Oxford 5000 list POS/CEFR confirmed 2026-08-19; very-many sense retained.
ox5000-16802cc1d888b91555fd	courtesy	noun	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	ввічливість; люб'язність	Oxford 5000 list POS/CEFR confirmed 2026-08-19; OALD noun headword reviewed for polite/respectful behaviour.
ox5000-fd78f7cbae25184dd1d4	craft	verb	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	майстерно виготовляти; ретельно створювати	Oxford 5000 list POS/CEFR confirmed 2026-08-19; OALD verb reviewed for skillful making including figurative carefully crafted text/speech.
ox5000-32bd6c66c3ab1c5a6ba8	crawl	verb	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	повзти; пересуватися дуже повільно	Oxford 5000 list POS/CEFR confirmed 2026-08-19; low-to-ground/very-slow movement range preserved.
ox5000-a947180a784ca8e0d4eb	creator	noun	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	творець; автор	Oxford 5000 list POS/CEFR confirmed 2026-08-19; person or agent that creates sense retained.
ox5000-6491b6ce47515c3b54f9	credibility	noun	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	довіра; достовірність; переконливість	Oxford 5000 list POS/CEFR confirmed 2026-08-19; believable/trusted quality sense retained.
ox5000-49e9ce448050ad81b4b7	credible	adjective	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	правдоподібний; такий, що заслуговує довіри	Oxford 5000 list POS/CEFR confirmed 2026-08-19; believable/trustworthy range preserved.
ox5000-fbdc61172695b1f0bad5	creep	verb	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	крастися; повзти; повільно просуватися	Oxford 5000 list POS/CEFR confirmed 2026-08-19; slow/quiet and gradual movement range preserved.
ox5000-0da989104939c63189b9	critique	noun	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	критичний аналіз; критика	Oxford 5000 list POS/CEFR confirmed 2026-08-19; detailed critical assessment sense retained.
ox5000-93e458dda012ee3ead78	crown	noun	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	корона; монархічна влада	Oxford 5000 list POS/CEFR confirmed 2026-08-19; principal royal headpiece/authority range preserved.
ox5000-3696c35db49c6bca85da	crude	adjective	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	необроблений; грубий; примітивний	Oxford 5000 list POS/CEFR confirmed 2026-08-19; OALD adjective reviewed for unrefined, rude, approximate and simply-made senses.
ox5000-28ebc735890b50550307	crush	verb	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	розчавлювати; придушувати	Oxford 5000 list POS/CEFR confirmed 2026-08-19; press/destroy and defeat/suppress range preserved.
ox5000-5d35b43c28f6c73c260f	crystal	noun	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	кристал; кришталь	Oxford 5000 list POS/CEFR confirmed 2026-08-19; crystalline substance/object range preserved.
ox5000-c6462b30e4d75bfb58ec	cultivate	verb	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	вирощувати; обробляти; розвивати	Oxford 5000 list POS/CEFR confirmed 2026-08-19; agricultural and develop-quality/relationship range preserved.
ox5000-bf1c97c7156d9b4de5fd	curiosity	noun	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	цікавість	Oxford 5000 list POS/CEFR confirmed 2026-08-19; direct Ukrainian lexical equivalent.
ox5000-3be4f1b408fa23c6f429	custody	noun	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	опіка; утримання під вартою	Oxford 5000 list POS/CEFR confirmed 2026-08-19; care/control and legal detention sense range preserved.
ox5000-0d13f5da797741ff1ea6	cutting	noun	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	вирізка; живець; різання	Oxford 5000 list POS/CEFR confirmed 2026-08-19; principal noun senses preserved conservatively.
ox5000-59ad2272856889930ae5	cynical	adjective	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	цинічний	Oxford 5000 list POS/CEFR confirmed 2026-08-19; direct Ukrainian lexical equivalent.
ox5000-be649ccedfa00436941b	dam	noun	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	гребля; дамба	Oxford 5000 list POS/CEFR confirmed 2026-08-19; barrier holding back water sense retained.
