entry_id	source	part_of_speech	level	official_source	status	ukrainian	source_check
ox5000-0645124c7041b2367763	damaging	adjective	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	шкідливий; згубний	Oxford 5000 list POS/CEFR confirmed 2026-08-19; principal causing-harm/damage sense retained.
ox5000-c5d202a6e0841424e31f	dawn	noun	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	світанок; початок	Oxford 5000 list POS/CEFR confirmed 2026-08-19; daybreak and beginning figurative range preserved.
ox5000-735b99f33158e4d93bbc	debris	noun	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	уламки; рештки	Oxford 5000 list POS/CEFR confirmed 2026-08-19; scattered remains/wreckage sense retained.
ox5000-8294b07348581e585991	debut	noun	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	дебют; перший публічний виступ	Oxford 5000 list POS/CEFR confirmed 2026-08-19; first public appearance/performance sense retained.
ox5000-f2aa0cc718752eacf0c0	decision-making	noun	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	прийняття рішень	Oxford 5000 list POS/CEFR confirmed 2026-08-19; direct process-of-making-decisions equivalent.
ox5000-6a0112f2cb052b2e18e9	decisive	adjective	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	вирішальний; рішучий	Oxford 5000 list POS/CEFR confirmed 2026-08-19; determining-result and able-to-decide senses preserved.
ox5000-c747e031b538bf5bea48	declaration	noun	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	заява; декларація; оголошення	Oxford 5000 list POS/CEFR confirmed 2026-08-19; formal statement/announcement range preserved.
ox5000-28ec2413252232a51a14	dedicated	adjective	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	відданий; призначений спеціально	Oxford 5000 list POS/CEFR confirmed 2026-08-19; committed-person and set-apart-for-purpose senses preserved.
ox5000-4796a3e83e4fa3a71b4f	dedication	noun	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	відданість; посвята	Oxford 5000 list POS/CEFR confirmed 2026-08-19; commitment and dedicatory-text/action senses preserved.
ox5000-c252326ee3312f4b1be1	deed	noun	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	вчинок; діяння	Oxford 5000 list POS/CEFR confirmed 2026-08-19; intentional act/action sense retained conservatively.
ox5000-329974ff0f5f4639789b	deem	verb	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	вважати; розцінювати	Oxford 5000 list POS/CEFR confirmed 2026-08-19; formal consider/regard-as sense retained.
ox5000-03c7f6c60a1de045a266	default	noun	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	невиконання зобов'язань; значення за замовчуванням	Oxford 5000 list POS/CEFR confirmed 2026-08-19; failure-to-act/pay and preset-option noun senses preserved.
ox5000-1760a1f4898915cbcecd	defect	noun	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	дефект; недолік	Oxford 5000 list POS/CEFR confirmed 2026-08-19; fault/imperfection noun sense retained.
ox5000-c4632e34201a5c84ec33	defensive	adjective	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	оборонний; захисний	Oxford 5000 list POS/CEFR confirmed 2026-08-19; defence/protection range preserved.
ox5000-9b40fbf6b2b280699618	deficiency	noun	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	нестача; дефіцит; недолік	Oxford 5000 list POS/CEFR confirmed 2026-08-19; shortage/lack and inadequacy range preserved.
ox5000-9436baf1e88c3c792a53	deficit	noun	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	дефіцит; нестача	Oxford 5000 list POS/CEFR confirmed 2026-08-19; financial shortfall and general shortage range retained.
ox5000-f261437fef094821dae2	defy	verb	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	кидати виклик; не підкорятися	Oxford 5000 list POS/CEFR confirmed 2026-08-19; openly resist/refuse-to-obey sense retained.
