entry_id	source	part_of_speech	level	official_source	status	ukrainian	source_check
ox5000-85936c215d714f3aa507	deposit	verb	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	вносити; класти на зберігання; залишати завдаток	Oxford 5000 list POS/CEFR confirmed 2026-08-19; money/valuable placement and deposit-for-safekeeping range retained conservatively.
ox5000-a9474576006fd9f3f73b	deprive	verb	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	позбавляти	Oxford 5000 list POS/CEFR confirmed 2026-08-19; deprive-somebody-of-something core sense retained.
ox5000-7f15ec2549b4127e3fab	deputy	noun	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	заступник; депутат	Oxford 5000 list POS/CEFR confirmed 2026-08-19; substitute/second-in-command and elected representative range preserved.
ox5000-beb185130e7ff6465518	descend	verb	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	спускатися; сходити	Oxford 5000 list POS/CEFR confirmed 2026-08-19; move downward core sense retained.
ox5000-132d516544b21d68b823	descent	noun	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	спуск; походження	Oxford 5000 list POS/CEFR confirmed 2026-08-19; downward movement and ancestry/origin noun senses preserved.
ox5000-573550531a460d32bfcf	designate	verb	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	призначати; визначати; позначати	Oxford 5000 list POS/CEFR confirmed 2026-08-19; appoint/name/mark-for-purpose range preserved.
ox5000-7f4510584e0660205131	desirable	adjective	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	бажаний; доцільний	Oxford 5000 list POS/CEFR confirmed 2026-08-19; wanted/advantageous sense retained.
ox5000-321f9aefa81d2f70f553	desktop	noun	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	робочий стіл; настільний комп'ютер	Oxford 5000 list POS/CEFR confirmed 2026-08-19; computer desktop/desktop-computer noun range retained.
ox5000-e9d86768606e596991e8	destructive	adjective	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	руйнівний; згубний	Oxford 5000 list POS/CEFR confirmed 2026-08-19; causing destruction/damage sense retained.
ox5000-55025f71fe27d595c04c	detain	verb	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	затримувати; утримувати	Oxford 5000 list POS/CEFR confirmed 2026-08-19; keep somebody in custody/prevent leaving sense retained.
ox5000-85a3fa6d3c021fbefe5d	detection	noun	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	виявлення; розпізнавання	Oxford 5000 list POS/CEFR confirmed 2026-08-19; act/process of discovering or identifying sense retained.
ox5000-8cc2fd47411862ef1ff1	detention	noun	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	затримання; утримання під вартою	Oxford 5000 list POS/CEFR confirmed 2026-08-19; custody/confinement noun sense retained.
ox5000-8cae384f5d2150273901	deteriorate	verb	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	погіршуватися; занепадати	Oxford 5000 list POS/CEFR confirmed 2026-08-19; become worse in quality/condition sense retained.
ox5000-a44ce0570cbd2240680a	devastate	verb	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	спустошувати; руйнувати	Oxford 5000 list POS/CEFR confirmed 2026-08-19; destroy badly and cause severe shock range retained conservatively.
ox5000-1d25ca03e4c951999652	devil	noun	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	диявол; чорт	Oxford 5000 list POS/CEFR confirmed 2026-08-19; evil supernatural being primary noun sense retained.
ox5000-35dfc868881446d4d191	devise	verb	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	розробляти; придумувати	Oxford 5000 list POS/CEFR confirmed 2026-08-19; invent/plan a method or system sense retained.
