entry_id	source	part_of_speech	level	official_source	status	ukrainian	source_check
ox5000-08fe646d5ac69538275c	disastrous	adjective	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	катастрофічний; згубний	Oxford 5000 list POS/CEFR confirmed 2026-08-19; causing serious damage/very bad outcome.
ox5000-ba9ff00618373237e1c2	discard	verb	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	відкидати; позбуватися	Oxford 5000 list POS/CEFR confirmed 2026-08-19; throw/remove as no longer useful.
ox5000-7e5383a14c41c8cab803	discharge	verb	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	виписувати; звільняти; вивільняти	Oxford 5000 list POS/CEFR confirmed 2026-08-19; release/send out core range; kept broad rather than guessing one institutional sense.
ox5000-8e81b22608103474c096	disclose	verb	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	розкривати; оприлюднювати	Oxford 5000 list POS/CEFR confirmed 2026-08-19; make information known.
ox5000-69e07458f8245eceacca	disclosure	noun	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	розкриття; оприлюднення	Oxford 5000 list POS/CEFR confirmed 2026-08-19; act/result of making information known.
ox5000-88e0abf548939c75440b	discourse	noun	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	дискурс; міркування	Oxford 5000 list POS/CEFR confirmed 2026-08-19; formal discussion/written or spoken treatment.
ox5000-366f881641e607647ab8	discretion	noun	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	розсуд; обачність	Oxford 5000 list POS/CEFR confirmed 2026-08-19; freedom/judgement to decide and careful judgement.
ox5000-0a663a96189253f4875a	discrimination	noun	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	дискримінація; розрізнення	Oxford 5000 list POS/CEFR confirmed 2026-08-19; unfair treatment and ability/process of distinguishing.
ox5000-9a4ac6ae925160092f68	dismissal	noun	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	звільнення; відхилення	Oxford 5000 list POS/CEFR confirmed 2026-08-19; removal from job and rejection/dismissal range.
ox5000-d228c17548d50b37a5a3	displace	verb	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	витісняти; переміщувати	Oxford 5000 list POS/CEFR confirmed 2026-08-19; force out of place / replace.
ox5000-4ecf546c2e5cd6811b2c	disposal	noun	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	утилізація; розпорядження	Oxford 5000 list POS/CEFR confirmed 2026-08-19; getting rid of and control/availability range.
ox5000-30bf4050ddb5d42192ac	dispose	verb	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	позбуватися; розпоряджатися	Oxford 5000 list POS/CEFR confirmed 2026-08-19; dispose of / arrange-place sense range.
ox5000-425295e9b5c8fe36941f	dispute	noun	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	суперечка; спір	Oxford 5000 list POS/CEFR confirmed 2026-08-19; argument/disagreement.
ox5000-f656889e787cb7bcdad0	dispute	verb	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	оспорювати; заперечувати	Oxford 5000 list POS/CEFR confirmed 2026-08-19; question/challenge truth or validity.
