entry_id	source	part_of_speech	level	official_source	status	ukrainian	source_check
ox5000-d57f29b543d7e52c7e8d	donor	noun	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	донор; жертводавець	Oxford 5000 list POS/CEFR confirmed 2026-08-19; person or organization that gives money/material or biological tissue.
ox5000-ac64c51dfe34be27b56f	dose	noun	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	доза	Oxford 5000 list POS/CEFR confirmed 2026-08-19; measured amount of medicine/substance.
ox5000-ecf00707b877d34521cc	drain	verb	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	осушувати; зливати; виснажувати	Oxford 5000 list POS/CEFR confirmed 2026-08-19; remove liquid and figuratively use up strength/resources.
ox5000-357c31f49bf920e54adc	drift	verb	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	дрейфувати; поступово зміщуватися	Oxford 5000 list POS/CEFR confirmed 2026-08-19; move slowly without firm control/direction.
ox5000-aefeeac7507289fdc046	driving	adjective	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	рушійний; сильний	Oxford 5000 list POS/CEFR confirmed 2026-08-19; OALD adjective senses are strong/powerful influence and forceful angled weather.
ox5000-ae8eeb64d719ca85aa2f	drown	verb	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	тонути; топити	Oxford 5000 list POS/CEFR confirmed 2026-08-19; die/cause death through submersion in liquid.
ox5000-3509877d39ab9f618a91	dual	adjective	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	подвійний; двоїстий	Oxford 5000 list POS/CEFR confirmed 2026-08-19; having two parts/aspects/functions.
ox5000-c54ea9170cc7978db1d7	dub	verb	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	називати; дублювати	Oxford 5000 list POS/CEFR confirmed 2026-08-19; give a name/title and replace soundtrack speech in another language.
ox5000-7898fa4f74b503fe90d9	dumb	adjective	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	дурний; безмовний	Oxford 5000 list POS/CEFR confirmed 2026-08-19; OALD current senses include informal stupid and temporarily unable/refusing to speak; old disability sense is labelled offensive.
ox5000-42fe5858ea299eeac612	duo	noun	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	дует; пара	Oxford 5000 list POS/CEFR confirmed 2026-08-19; pair of performers/people/things acting together.
ox5000-3033c8659b7506b30c8d	dynamic	noun	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	динаміка; рушійна сила	Oxford 5000 list POS/CEFR confirmed 2026-08-19; OALD noun covers interaction pattern and a force producing change.
ox5000-d23d88a910553d6d5167	eager	adjective	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	дуже охочий; завзятий	Oxford 5000 list POS/CEFR confirmed 2026-08-19; strongly wanting to do/have something.
ox5000-e525e05dfd3a4df698b7	earnings	noun	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	заробіток; доходи	Oxford 5000 list POS/CEFR confirmed 2026-08-19; money earned from work/business/investment.
