entry_id	source	part_of_speech	level	official_source	status	ukrainian	source_check
ox5000-d95ee7e6e795930560e1	embassy	noun	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	посольство	Oxford 5000 list POS/CEFR confirmed 2026-08-19; diplomatic mission/building.
ox5000-0157b6bd3fcf39c79895	embed	verb	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	вбудовувати; закріплювати	Oxford 5000 list POS/CEFR confirmed 2026-08-19; fix firmly within something or integrate into a larger whole.
ox5000-790d69821f63eb9bae43	embody	verb	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	втілювати; уособлювати	Oxford 5000 list POS/CEFR confirmed 2026-08-19; represent or express an idea/quality in a concrete form.
ox5000-578036e653f63b6c97d9	emergence	noun	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	поява; виникнення	Oxford 5000 list POS/CEFR confirmed 2026-08-19; process of coming into existence or becoming known.
ox5000-0fa4231b427992a9793b	empirical	adjective	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	empіричний; заснований на досвіді	Oxford 5000 list POS/CEFR confirmed 2026-08-19; based on observation/experiment rather than theory alone.
ox5000-114b7e5a2673eb681bc1	empower	verb	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	наділяти повноваженнями; давати можливість	Oxford 5000 list POS/CEFR confirmed 2026-08-19; give authority, confidence or control.
ox5000-4a63aa8ad4e1c4cb31d2	enact	verb	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	ухвалювати; вводити в дію	Oxford 5000 list POS/CEFR confirmed 2026-08-19; make a law official or put a measure into effect.
ox5000-48590d12c93845e33da8	encompass	verb	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	охоплювати; включати	Oxford 5000 list POS/CEFR confirmed 2026-08-19; include a wide range or surround/cover.
ox5000-56ff6174a2ef97b39bac	encouragement	noun	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	заохочення; підтримка	Oxford 5000 list POS/CEFR confirmed 2026-08-19; act/words that give confidence or incentive.
ox5000-9f79db40b326cfcdc405	encouraging	adjective	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	обнадійливий; заохочувальний	Oxford 5000 list POS/CEFR confirmed 2026-08-19; giving hope/confidence or indicating likely success.
ox5000-d44c4cc50ddf097b3953	endeavour	noun	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	зусилля; прагнення	Oxford 5000 list POS/CEFR confirmed 2026-08-19; serious determined attempt/activity.
ox5000-289d8f864453c7db3946	endless	adjective	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	нескінченний; безперервний	Oxford 5000 list POS/CEFR confirmed 2026-08-19; seeming to have no end or lasting a very long time.
ox5000-168aa14e6b8f55e267d9	endorse	verb	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	схвалювати; підтримувати	Oxford 5000 list POS/CEFR confirmed 2026-08-19; publicly approve/support, with document-signing sense retained by broad translation.
ox5000-d6d13fa496cb6ed9006a	endorsement	noun	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	схвалення; підтримка	Oxford 5000 list POS/CEFR confirmed 2026-08-19; act/statement of approval or support.
ox5000-ab6a764dd01fc6cf30bd	endure	verb	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	витримувати; терпіти	Oxford 5000 list POS/CEFR confirmed 2026-08-19; suffer something difficult or continue to exist over time.
ox5000-184e0dec78b875de2959	enforce	verb	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	забезпечувати виконання; примушувати дотримуватися	Oxford 5000 list POS/CEFR confirmed 2026-08-19; make a law/rule/order be obeyed.
ox5000-b33f280f2228e35e83d1	enforcement	noun	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	забезпечення виконання; правозастосування	Oxford 5000 list POS/CEFR confirmed 2026-08-19; process of making laws/rules be obeyed.
ox5000-49b78369584d4a4dafdf	engagement	noun	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	залучення; участь; заручини	Oxford 5000 list POS/CEFR confirmed 2026-08-19; participation/involvement and marriage commitment sense range.
ox5000-074ab71dd09a5a919c07	engaging	adjective	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	привабливий; захопливий	Oxford 5000 list POS/CEFR confirmed 2026-08-19; pleasant/interesting enough to attract attention.
ox5000-72881c7c50a6e2226649	enquire	verb	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	запитувати; довідуватися	Oxford 5000 list POS/CEFR confirmed 2026-08-19; ask for information.
ox5000-dd4f9eb572bb6c88156b	enrich	verb	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	збагачувати	Oxford 5000 list POS/CEFR confirmed 2026-08-19; improve quality/value or make richer.
ox5000-ef29fb2addb9116ac7e5	enrol	verb	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	записуватися; зараховуватися	Oxford 5000 list POS/CEFR confirmed 2026-08-19; officially register as a member/student/participant.
ox5000-41ca75c927ad5c634289	ensue	verb	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	наставати; випливати як наслідок	Oxford 5000 list POS/CEFR confirmed 2026-08-19; happen afterwards, especially as a result.
ox5000-784841088360a8cf7d7a	enterprise	noun	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	підприємство; ініціатива	Oxford 5000 list POS/CEFR confirmed 2026-08-19; business organization or purposeful project/activity.
ox5000-f7e562ebcc031269ee77	enthusiast	noun	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	ентузіаст; захоплений прихильник	Oxford 5000 list POS/CEFR confirmed 2026-08-19; person very interested in a particular activity/subject.
ox5000-dad0a07f5e18149b82a6	entitle	verb	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	давати право; називати	Oxford 5000 list POS/CEFR confirmed 2026-08-19; give a right and give a title/name.
ox5000-f8eaf701828d1bd44d27	entity	noun	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	сутність; суб’єкт	Oxford 5000 list POS/CEFR confirmed 2026-08-19; thing/organization existing as a distinct independent unit.
ox5000-736e69ded69e53cfb23b	epidemic	noun	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	епідемія	Oxford 5000 list POS/CEFR confirmed 2026-08-19; widespread occurrence of disease in a community/region.
ox5000-8b71879696bd59b40136	equality	noun	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	рівність	Oxford 5000 list POS/CEFR confirmed 2026-08-19; state of being equal in status/rights/opportunities.
