entry_id	source	part_of_speech	level	official_source	status	ukrainian	source_check
ox5000-56e12a0334a26d36d100	equation	noun	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	рівняння	Oxford 5000 list POS/CEFR confirmed 2026-08-19; mathematical statement of equality between expressions.
ox5000-5ba370f1618d81c2126d	erect	verb	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	зводити; встановлювати	Oxford 5000 list POS/CEFR confirmed 2026-08-19; build or put a structure/object upright.
ox5000-14754b6d8246416c2e36	escalate	verb	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	загострюватися; посилюватися	Oxford 5000 list POS/CEFR confirmed 2026-08-19; become or make a situation more serious/intense.
ox5000-abc635f8c64c8b8fedd3	essence	noun	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	сутність; суть	Oxford 5000 list POS/CEFR confirmed 2026-08-19; most important/basic quality or nature of something.
ox5000-d2feb7d7e6715b1efd1e	establishment	noun	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	установа; заснування	Oxford 5000 list and OALD noun entry confirmed 2026-08-19; organization/institution and act of starting/creating something durable.
ox5000-de9209c2edfef699d99c	eternal	adjective	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	вічний	Oxford 5000 list POS/CEFR confirmed 2026-08-19; lasting or existing forever/for an indefinitely long time.
ox5000-3199bc0acf4ca01428e2	evacuate	verb	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	евакуювати	Oxford 5000 list POS/CEFR confirmed 2026-08-19; move people from danger to a safer place.
ox5000-67d755bcd2b4df6b2778	evoke	verb	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	викликати; пробуджувати	Oxford 5000 list POS/CEFR confirmed 2026-08-19; bring a feeling, memory or image to mind.
ox5000-e3141b60150ea74e6249	evolutionary	adjective	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	еволюційний	Oxford 5000 list POS/CEFR confirmed 2026-08-19; relating to evolution or gradual development.
ox5000-7242ec57d92ec9758d32	exaggerate	verb	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	перебільшувати	Oxford 5000 list POS/CEFR confirmed 2026-08-19; make something seem larger/better/worse or more important than it is.
ox5000-8046f4154c393d637069	excellence	noun	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	досконалість; висока якість	Oxford 5000 list POS/CEFR confirmed 2026-08-19; quality of being extremely good.
ox5000-5eda3a75d7f78f6b3d9c	exceptional	adjective	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	винятковий; надзвичайний	Oxford 5000 list POS/CEFR confirmed 2026-08-19; unusually good, rare or outside the ordinary.
ox5000-10afe44fc5c6a83c5414	excess	adjective	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	надлишковий; зайвий	Oxford 5000 list and OALD adjective entry confirmed 2026-08-19; additional to what is necessary, usual or legal.
ox5000-00683a6d44d07c34438a	excess	noun	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	надлишок; перевищення	Oxford 5000 list and OALD noun entry confirmed 2026-08-19; amount beyond what is necessary/reasonable/acceptable.
ox5000-8f048b1f372c80b14282	exclusion	noun	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	виключення; недопущення	Oxford 5000 list POS/CEFR confirmed 2026-08-19; act of preventing someone/something from being included or taking part.
ox5000-5bdfd62f6a703c3111f6	exclusive	adjective	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	ексклюзивний; винятковий	Oxford 5000 list and OALD adjective entry confirmed 2026-08-19; restricted to particular people/use or available from only one source.
ox5000-b90c81b2cd6b91549af3	exclusively	adverb	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	виключно; лише	Oxford 5000 list POS/CEFR confirmed 2026-08-19; only and not involving anyone/anything else.
ox5000-a5316ba194c22892e660	execute	verb	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	виконувати; здійснювати	Oxford 5000 list and OALD verb entry confirmed 2026-08-19; carry out a plan/order/task; capital-punishment sense is not used as sole translation.
ox5000-26922848a8016a112069	execution	noun	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	виконання; здійснення	Oxford 5000 list and OALD noun entry confirmed 2026-08-19; carrying out a plan/order/task; broader legal sense remains contextual.
