entry_id	source	part_of_speech	level	official_source	status	ukrainian	source_check
ox5000-4920c49546b06e787b91	explosive	noun	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	вибухівка; вибухова речовина	Oxford 5000 list and OALD noun entry confirmed 2026-08-19; substance able or likely to cause an explosion.
ox5000-ab38b78f24d0ee711ce4	extract	verb	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	видобувати; вилучати	Oxford 5000 list and OALD verb entry confirmed 2026-08-19; remove/obtain material, information or an object from a source.
ox5000-27da85b754ad073bc07e	extremist	noun	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	екстреміст; екстремістка	Oxford 5000 list POS/CEFR confirmed 2026-08-19; person holding or supporting extreme political/religious views or methods.
ox5000-b803a8e9670a6ba2cea3	facilitate	verb	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	полегшувати; сприяти	Oxford 5000 list POS/CEFR confirmed 2026-08-19; make an action/process easier or possible.
ox5000-6d88274def09de462af8	faction	noun	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	фракція; угруповання	Oxford 5000 list and OALD noun entry confirmed 2026-08-19; smaller organized group within a larger group, often with differing views.
ox5000-8695823f1112f5dcaf2a	faculty	noun	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	факультет; викладацький склад; здатність	Oxford 5000 list and OALD noun entry confirmed 2026-08-19; university department/teachers and innate or particular ability senses retained.
ox5000-477d17b791de3d9acf79	fade	verb	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	вицвітати; згасати	Oxford 5000 list POS/CEFR confirmed 2026-08-19; gradually lose colour, strength, brightness or prominence.
ox5000-51b3a4c5ea8c53cdf41f	fairness	noun	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	справедливість; неупередженість	Oxford 5000 list POS/CEFR confirmed 2026-08-19; quality of treating people equally/reasonably and without bias.
ox5000-da1060691b91e2702e59	fatal	adjective	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	смертельний; фатальний	Oxford 5000 list POS/CEFR confirmed 2026-08-19; causing death or causing a disastrous decisive result.
ox5000-26f084122ce1f00b7bae	fate	noun	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	доля; участь	Oxford 5000 list and OALD noun entry confirmed 2026-08-19; what happens to someone/something, especially an unavoidable or final outcome.
ox5000-c5e4e3064b1ecfe51152	favourable	adjective	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	сприятливий; схвальний	Oxford 5000 list POS/CEFR confirmed 2026-08-19; positive, advantageous or showing approval.
ox5000-d34b63599f65df329f5a	feat	noun	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	подвиг; визначне досягнення	Oxford 5000 list POS/CEFR confirmed 2026-08-19; action or achievement requiring notable skill, strength or courage.
ox5000-1b746a886ac1c9a3ca49	feminist	adjective	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	феміністичний	Oxford 5000 list POS/CEFR confirmed 2026-08-19; relating to feminism or support for equal rights/opportunities for women.
ox5000-a99ca2d42fa1a8c71869	feminist	noun	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	фемініст; феміністка	Oxford 5000 list POS/CEFR confirmed 2026-08-19; person who supports feminism/equal rights and opportunities for women.
