entry_id	source	part_of_speech	level	official_source	status	ukrainian	source_check
ox5000-7935e4a33276533d575e	flexibility	noun	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	гнучкість	Oxford 5000 list POS/CEFR confirmed 2026-08-19; ability to change/adapt; capacity to bend or vary.
ox5000-dbe1ed554e8d4ea4c824	flourish	verb	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	процвітати; успішно розвиватися	Oxford 5000 list POS/CEFR confirmed 2026-08-19; develop or grow successfully/strongly.
ox5000-9a8dfa93f67f3a80d912	fluid	noun	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	рідина; плинне середовище	Oxford 5000 list POS/CEFR confirmed 2026-08-19; substance that can flow, especially liquid or gas.
ox5000-25430d6bd5e1fc8f96f4	footage	noun	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	відеоматеріал; відзнятий матеріал	Oxford 5000 list POS/CEFR confirmed 2026-08-19; part of a film/video recording showing an event.
ox5000-9897c6bd731c9814a4ff	forge	verb	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	кувати; підробляти; формувати	Oxford 5000 list POS/CEFR confirmed 2026-08-19; shape metal; make a false copy; create/develop a strong relationship or path.
ox5000-88bb1de39728d889a1c5	formulate	verb	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	формулювати; розробляти	Oxford 5000 list POS/CEFR confirmed 2026-08-19; create or express a plan, idea, policy or statement carefully.
ox5000-8d326cdd62c0dd9292ca	forth	adverb	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	вперед; назовні	Oxford 5000 list POS/CEFR confirmed 2026-08-19; forward or out from a place; chiefly in fixed/formal uses.
ox5000-7228baa6a779de43b351	forthcoming	adjective	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	майбутній; очікуваний; відвертий	Oxford 5000 list POS/CEFR confirmed 2026-08-19; about to happen/appear; also willing to provide information.
ox5000-6abb3e79c1739823dd9b	foster	verb	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	сприяти розвитку; заохочувати; виховувати	Oxford 5000 list POS/CEFR confirmed 2026-08-19; encourage development; also care for a child for a period.
ox5000-a200e42ec69677c99540	fragile	adjective	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	крихкий; вразливий	Oxford 5000 list POS/CEFR confirmed 2026-08-19; easily broken/damaged or weak and uncertain.
