entry_id	source	part_of_speech	level	official_source	status	ukrainian	source_check
ox5000-17480541c73df2eca964	grace	noun	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	грація; витонченість; милість	Oxford 5000 list POS/CEFR confirmed 2026-08-19; elegance/controlled movement and favour/kindness senses retained.
ox5000-0f09a647caa9beed27b1	grasp	noun	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	розуміння; хватка	Oxford 5000 list POS/CEFR confirmed 2026-08-19; understanding and physical hold/range senses retained.
ox5000-ead11c480b5c424f52d9	grasp	verb	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	схоплювати; осягати; розуміти	Oxford 5000 list POS/CEFR confirmed 2026-08-19; take hold firmly or understand an idea/situation.
ox5000-f95bdd9fe20a2e5e0998	grave	adjective	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	серйозний; тяжкий	Oxford 5000 list POS/CEFR confirmed 2026-08-19; very serious and important/dangerous.
ox5000-d6c93e39a1304318c107	grave	noun	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	могила	Oxford 5000 list POS/CEFR confirmed 2026-08-19; place where a dead body is buried.
ox5000-2dcec8307b021ca77e92	gravity	noun	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	гравітація; серйозність	Oxford 5000 list POS/CEFR confirmed 2026-08-19; force attracting objects and seriousness of a situation.
ox5000-f7b52d8fb37b16e5829e	grid	noun	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	сітка; мережа	Oxford 5000 list POS/CEFR confirmed 2026-08-19; pattern/network of intersecting lines and interconnected supply/system senses.
ox5000-d3089dfd4b5652032a4f	grief	noun	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	горе; скорбота	Oxford 5000 list POS/CEFR confirmed 2026-08-19; intense sadness, especially after a death or loss.
ox5000-b7f0fd7a87e2e324ec0e	grin	noun	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	широка усмішка; посмішка	Oxford 5000 list POS/CEFR confirmed 2026-08-19; broad smile showing the teeth.
ox5000-6f33150707160db2ddcb	grin	verb	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	широко усміхатися; посміхатися	Oxford 5000 list POS/CEFR confirmed 2026-08-19; smile broadly, often showing the teeth.
ox5000-b5d54ecd103ba3fa983e	grind	verb	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	молоти; подрібнювати; скреготати	Oxford 5000 list POS/CEFR confirmed 2026-08-19; crush into small particles or rub surfaces/teeth with a harsh sound.
ox5000-5c8d361e79bbada39449	grip	noun	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	хватка; захоплення; контроль	Oxford 5000 list POS/CEFR confirmed 2026-08-19; firm hold and strong control/influence senses retained.
ox5000-c272214456557fe5a4e7	grip	verb	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	міцно тримати; захоплювати	Oxford 5000 list POS/CEFR confirmed 2026-08-19; hold tightly or strongly attract/affect attention or emotion.
ox5000-497c1b42a480bad1dfcd	gross	adjective	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	валовий; грубий; огидний	Oxford 5000 list POS/CEFR confirmed 2026-08-19; total before deductions and extremely unpleasant/obvious senses retained.
ox5000-1fe2ef706c7ac0b5120b	guerrilla	noun	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	партизан; партизанка	Oxford 5000 list POS/CEFR confirmed 2026-08-19; member of a small independent armed group using irregular tactics.
ox5000-f0c328b2e284d7e4b5cb	guidance	noun	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	керівництво; настанови; поради	Oxford 5000 list POS/CEFR confirmed 2026-08-19; help/advice about how to do or deal with something.
ox5000-14357673364d499b8616	guilt	noun	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	провина; почуття провини	Oxford 5000 list POS/CEFR confirmed 2026-08-19; responsibility for wrongdoing and the associated feeling.
ox5000-b41852a7fa7d121486e5	gut	noun	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	кишечник; нутро; інтуїція	Oxford 5000 list POS/CEFR confirmed 2026-08-19; digestive tract and informal inner feeling/instinct senses retained.
ox5000-77888a0bd8df99e2851f	hail	verb	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	вітати; проголошувати; окликати	Oxford 5000 list POS/CEFR confirmed 2026-08-19; praise/describe enthusiastically or call to attract attention.
ox5000-d61a99c54ca8540c709d	halfway	adverb	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	на півдорозі; наполовину	Oxford 5000 list POS/CEFR confirmed 2026-08-19; at or to a point equally distant between two ends/stages.
ox5000-e82688a5da7914ceaef8	halt	noun	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	зупинка; припинення	Oxford 5000 list POS/CEFR confirmed 2026-08-19; stop or interruption of movement/activity.
