entry_id	source	part_of_speech	level	official_source	status	ukrainian	source_check
ox5000-ccb13f653671c33d2df0	harvest	noun	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	урожай; збір урожаю	Oxford 5000 list POS/CEFR confirmed 2026-08-19; crops gathered and the act/season of gathering them.
ox5000-320af12d389ad873d929	harvest	verb	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	збирати врожай; заготовляти	Oxford 5000 list POS/CEFR confirmed 2026-08-19; gather a crop or collect a natural resource/product for use.
ox5000-dc4f331bf9ffa04acbff	hatred	noun	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	ненависть	Oxford 5000 list POS/CEFR confirmed 2026-08-19; very strong feeling of dislike.
ox5000-5c6d185cc54cb8db8115	haunt	verb	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	переслідувати; не давати спокою; навідуватися	Oxford 5000 list POS/CEFR confirmed 2026-08-19; recur disturbingly in memory/thought or regularly visit a place.
ox5000-dc56e260721b7ce9387d	hazard	noun	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	небезпека; ризик	Oxford 5000 list POS/CEFR confirmed 2026-08-19; source or possibility of danger, damage or risk.
ox5000-59f5553b4554c4c02bb9	heighten	verb	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	посилювати; підвищувати	Oxford 5000 list POS/CEFR confirmed 2026-08-19; make or become stronger, greater or more intense.
ox5000-ed1b9dbbbc1b4f176176	heritage	noun	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	спадщина; культурна спадщина	Oxford 5000 list POS/CEFR confirmed 2026-08-19; traditions, culture, buildings or qualities inherited from the past.
ox5000-9ba0bd889b49e84d2b57	hierarchy	noun	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	ієрархія	Oxford 5000 list POS/CEFR confirmed 2026-08-19; system in which people or things are ranked at different levels.
ox5000-c398407126cebfc46320	high-profile	adjective	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	відомий; резонансний; публічний	Oxford 5000 list POS/CEFR confirmed 2026-08-19; attracting much public attention or media interest.
ox5000-f602544cd3c920a61648	hint	noun	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	натяк; підказка	Oxford 5000 list POS/CEFR confirmed 2026-08-19; indirect suggestion or small piece of advice/information.
ox5000-084bee881e081557af7a	hint	verb	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	натякати	Oxford 5000 list POS/CEFR confirmed 2026-08-19; suggest something indirectly rather than state it openly.
ox5000-78857096b2c355d2bc2c	homeland	noun	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	батьківщина; рідна країна	Oxford 5000 list POS/CEFR confirmed 2026-08-19; country or region regarded as one's native land.
ox5000-bc024449756f375b05aa	hook	verb	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	зачіпляти; підчіплювати; захоплювати	Oxford 5000 list POS/CEFR confirmed 2026-08-19; fasten/catch with a hook or strongly attract and keep attention.
ox5000-16c9fe2cbae30a479aad	hopeful	adjective	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	сповнений надії; обнадійливий	Oxford 5000 list POS/CEFR confirmed 2026-08-19; feeling hope or giving reason to expect a positive result.
ox5000-dadbf9feafc1734c2e78	horizon	noun	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	горизонт; обрій	Oxford 5000 list POS/CEFR confirmed 2026-08-19; apparent line where earth/sea meets sky and figurative limit/range.
ox5000-bd2896e89401a0bccdb0	horn	noun	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	ріг; гудок	Oxford 5000 list POS/CEFR confirmed 2026-08-19; hard pointed animal growth or device that makes a warning/musical sound.
ox5000-804be461750a33634f98	hostage	noun	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	заручник; заручниця	Oxford 5000 list POS/CEFR confirmed 2026-08-19; person held prisoner to force another party to act.
ox5000-db732984cbc1bd1e6b7b	hostile	adjective	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	ворожий; недружній	Oxford 5000 list POS/CEFR confirmed 2026-08-19; showing strong opposition, aggression or unfriendliness.
ox5000-342da227881718f06c77	hostility	noun	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	ворожість; неприязнь; бойові дії	Oxford 5000 list POS/CEFR confirmed 2026-08-19; unfriendly/opposing attitude and hostile acts between groups.
ox5000-57e138fd02b38c22221e	humanitarian	adjective	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	гуманітарний	Oxford 5000 list POS/CEFR confirmed 2026-08-19; concerned with reducing human suffering and improving welfare.
ox5000-f59683402592b70c1f4e	humanity	noun	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	людство; людяність	Oxford 5000 list POS/CEFR confirmed 2026-08-19; all human beings or the quality of being humane/compassionate.
