entry_id	source	part_of_speech	level	official_source	status	ukrainian	source_check
ox5000-fa22c97223cdc656611c	immense	adjective	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	величезний; надзвичайно великий	Oxford 5000 list POS/CEFR confirmed 2026-08-19; extremely large or great in degree.
ox5000-9c20ae4238185565b3ce	imminent	adjective	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	неминучий; такий, що ось-ось станеться	Oxford 5000 list POS/CEFR confirmed 2026-08-19; expected to happen very soon.
ox5000-797197d56faab42b609f	implementation	noun	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	реалізація; впровадження	Oxford 5000 list POS/CEFR confirmed 2026-08-19; act/process of putting a decision, plan, system or policy into effect.
ox5000-b36bec3e58dbb535fd3c	imprison	verb	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	ув'язнювати; саджати до в'язниці	Oxford 5000 list POS/CEFR confirmed 2026-08-19; put or keep somebody in prison or another confined place.
ox5000-6bfe7c6f7b7418fdd9ff	imprisonment	noun	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	ув'язнення	Oxford 5000 list POS/CEFR confirmed 2026-08-19; state or punishment of being kept in prison.
ox5000-3eadd0e78083e30ad39b	inability	noun	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	нездатність; неспроможність	Oxford 5000 list POS/CEFR confirmed 2026-08-19; lack of ability to do something.
ox5000-d34bf2c89196eec329cb	inadequate	adjective	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	недостатній; неналежний; неадекватний	Oxford 5000 list POS/CEFR confirmed 2026-08-19; not enough or not good enough for a particular purpose.
ox5000-923f88b886df4401e86a	inappropriate	adjective	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	недоречний; невідповідний	Oxford 5000 list POS/CEFR confirmed 2026-08-19; not suitable or appropriate in a particular situation.
ox5000-3f2d20daa3e5a308cc24	incidence	noun	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	частота; поширеність; рівень випадків	Oxford 5000 list POS/CEFR confirmed 2026-08-19; extent/frequency with which something happens or has an effect; physics incidence is secondary.
ox5000-63682ad66d5b94928ab0	inclined	adjective	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	схильний; налаштований	Oxford 5000 list POS/CEFR confirmed 2026-08-19; wanting/tending/likely to do something; can also mean sloping.
ox5000-add4f62d899a6e950a2f	inclusion	noun	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	включення; залучення	Oxford 5000 list POS/CEFR confirmed 2026-08-19; act of including somebody/something or fact of being included.
ox5000-8a3091f489eb482dc9ab	incur	verb	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	зазнавати; накликати на себе	Oxford 5000 list POS/CEFR confirmed 2026-08-19; become subject to something unpleasant such as costs, debt, loss or blame as a result of actions.
ox5000-fbad42ba2d5f4eb1d7a0	indicator	noun	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	показник; індикатор	Oxford 5000 list POS/CEFR confirmed 2026-08-19; sign, measure or device that shows a state, level or trend.
ox5000-e9de2a1c7cc6f47a3a3b	indictment	noun	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	обвинувальний акт; обвинувачення	Oxford 5000 list POS/CEFR confirmed 2026-08-19; formal accusation of a serious crime; also strong evidence that a system/situation is bad.
ox5000-cfbca1bd6f89fb7e42d7	indigenous	adjective	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	корінний; місцевий	Oxford 5000 list POS/CEFR confirmed 2026-08-19; originating or occurring naturally in a particular place; native.
ox5000-883ffecde8a526bb80de	induce	verb	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	спонукати; спричиняти	Oxford 5000 list POS/CEFR confirmed 2026-08-19; persuade/influence somebody to act or cause something to happen.
ox5000-cedfed8527e24bd73333	indulge	verb	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	потурати; дозволяти собі; балувати	Oxford 5000 list POS/CEFR confirmed 2026-08-19; allow yourself/somebody to have or do something enjoyable, often excessively.
ox5000-ad8cb095c32cd44c5c55	inequality	noun	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	нерівність	Oxford 5000 list POS/CEFR confirmed 2026-08-19; unfair difference in social/economic position or unequal state.
ox5000-8065ace48f44b05a82e6	infamous	adjective	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	сумнозвісний; ганебно відомий	Oxford 5000 list POS/CEFR confirmed 2026-08-19; well known for something bad or evil.
ox5000-45963e3dfe6e0088eee8	infant	noun	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	немовля; мала дитина	Oxford 5000 list POS/CEFR confirmed 2026-08-19; a baby or very young child.
ox5000-5e0d8d053bcc105c5ff0	infect	verb	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	заражати; інфікувати	Oxford 5000 list POS/CEFR confirmed 2026-08-19; pass a disease-causing organism to a person/animal/place; make infected.
ox5000-56f30f4895d858a92581	inflict	verb	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	завдавати; заподіювати	Oxford 5000 list POS/CEFR confirmed 2026-08-19; cause somebody to suffer something unpleasant such as injury, damage or punishment.
ox5000-d7eabff4846167ec7397	influential	adjective	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	впливовий	Oxford 5000 list POS/CEFR confirmed 2026-08-19; having a lot of influence on somebody/something.
ox5000-bced482ee9a2a012e7bd	inherent	adjective	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	властивий; невід'ємний	Oxford 5000 list POS/CEFR confirmed 2026-08-19; existing as a natural or permanent quality of somebody/something.
ox5000-8001ef1761d05cd3642a	inhibit	verb	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	стримувати; перешкоджати; пригнічувати	Oxford 5000 list POS/CEFR confirmed 2026-08-19; prevent or reduce an action/process; make somebody unable to act freely.
ox5000-f1c0cf3336d44fb2641c	initiate	verb	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	ініціювати; започатковувати	Oxford 5000 list POS/CEFR confirmed 2026-08-19; make something begin; introduce somebody formally into a group/process.
ox5000-77394d476621828fd1d5	inject	verb	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	вводити ін'єкцією; впорскувати	Oxford 5000 list POS/CEFR confirmed 2026-08-19; put a drug/liquid into the body with a needle or force a substance into something.
ox5000-f7f6c714a931d4460b63	injection	noun	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	ін'єкція; укол; впорскування	Oxford 5000 list POS/CEFR confirmed 2026-08-19; act of injecting or amount injected; also addition of money/resources.
ox5000-1b551cb51a68985beef3	injustice	noun	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	несправедливість	Oxford 5000 list POS/CEFR confirmed 2026-08-19; unfair treatment or an unfair situation.
