entry_id	source	part_of_speech	level	official_source	status	ukrainian	source_check
ox5000-427519c524834d549d27	inmate	noun	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	ув'язнений; в'язень	Oxford 5000 list POS/CEFR confirmed 2026-08-19; person living in an institution, especially a prison.
ox5000-920977ea79d720c7cc08	insertion	noun	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	вставлення; введення	Oxford 5000 list POS/CEFR confirmed 2026-08-19; act of putting something into something else.
ox5000-6650aa0ab5c3a6601d24	insider	noun	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	інсайдер; людина з внутрішньою інформацією	Oxford 5000 list POS/CEFR confirmed 2026-08-19; person with special knowledge because they belong to a group or organization.
ox5000-1d448f65a4b98f45b63c	inspect	verb	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	оглядати; перевіряти; інспектувати	Oxford 5000 list POS/CEFR confirmed 2026-08-19; examine carefully, especially to check condition or standards.
ox5000-51f62163eea65bfc4919	inspection	noun	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	огляд; перевірка; інспекція	Oxford 5000 list POS/CEFR confirmed 2026-08-19; official or careful examination.
ox5000-e5960bf72bddc1e3e3a1	inspiration	noun	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	натхнення; джерело натхнення	Oxford 5000 list POS/CEFR confirmed 2026-08-19; ideas, influence or person/thing that motivates creative action.
ox5000-e942e2b82d808eed83db	instinct	noun	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	інстинкт; чуття	Oxford 5000 list POS/CEFR confirmed 2026-08-19; natural tendency or ability to react without conscious thought.
ox5000-c6bdaf8569deac470db8	institutional	adjective	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	інституційний	Oxford 5000 list POS/CEFR confirmed 2026-08-19; connected with an institution or institutions.
ox5000-1796b99ec7fc23ad2972	instruct	verb	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	інструктувати; наказувати; навчати	Oxford 5000 list POS/CEFR confirmed 2026-08-19; tell somebody what to do or teach/give information.
ox5000-6e1ee981d6a45ec7b49d	instrumental	adjective	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	вирішальний; важливий для досягнення; інструментальний	Oxford OALD adjective senses checked 2026-08-19: important in making something happen; made by/for musical instruments; grammar instrumental sense is specialized. Translation preserves the material general/music senses without collapsing them.
ox5000-a97dc821f87ef287f5b5	insufficient	adjective	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	недостатній	Oxford 5000 list POS/CEFR confirmed 2026-08-19; not enough for a particular purpose.
ox5000-09cb6622ad40ca9204fd	insult	noun	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	образа	Oxford 5000 list POS/CEFR confirmed 2026-08-19; remark or action that offends or shows disrespect.
ox5000-9b80dbff2b8db3f00c5e	insult	verb	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	ображати	Oxford 5000 list POS/CEFR confirmed 2026-08-19; say or do something that offends or shows disrespect.
ox5000-d12b191c90d0ee8e3c81	intact	adjective	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	неушкоджений; цілий	Oxford 5000 list POS/CEFR confirmed 2026-08-19; complete and not damaged.
ox5000-e728acc1aa2b66a5141d	intake	noun	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	споживання; обсяг споживання; набір; впуск; вдих	Oxford OALD noun senses checked 2026-08-19: amount consumed; people admitted; machine opening; act of taking in breath. Translation preserves all listed material senses.
ox5000-c1fab8c9cca03954a6d7	integral	adjective	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	невід'ємний; складовий	Oxford 5000 list POS/CEFR confirmed 2026-08-19; necessary and essential as part of a whole.
ox5000-d685a74da4aae67fda53	integrated	adjective	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	інтегрований; об'єднаний	Oxford 5000 list POS/CEFR confirmed 2026-08-19; combined into a whole or bringing groups together.
ox5000-7e8aa55f388d26a61f61	integration	noun	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	інтеграція; об'єднання	Oxford 5000 list POS/CEFR confirmed 2026-08-19; process of combining people or things into a whole.
ox5000-cb5698b42622f3533ae1	integrity	noun	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	доброчесність; чесність; цілісність	Oxford OALD noun senses checked 2026-08-19: honesty/strong moral principles and state of being whole/not divided. Both material senses are preserved explicitly.
ox5000-7ce0d20d2a9bbee5ebf1	intellectual	noun	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	інтелектуал	Oxford 5000 list POS/CEFR confirmed 2026-08-19; highly educated person interested in ideas and serious thought.
