entry_id	source	part_of_speech	level	official_source	status	ukrainian	source_check
ox5000-910643d223f5216b3c05	manipulation	noun	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	pending_translation_qa		Oxford 5000 list row POS/CEFR confirmed 2026-08-19; translation not yet admitted.
ox5000-e57c5226ca8229556a8e	manuscript	noun	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	pending_translation_qa		Oxford 5000 list row POS/CEFR confirmed 2026-08-19; translation not yet admitted.
ox5000-182836a7369176c4bf95	march	noun	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	pending_translation_qa		Oxford 5000 list row POS/CEFR confirmed 2026-08-19; translation not yet admitted.
ox5000-d199f131bf72f708e32b	march	verb	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	pending_translation_qa		Oxford 5000 list row POS/CEFR confirmed 2026-08-19; translation not yet admitted.
ox5000-7db435baba2df28a1000	marginal	adjective	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	pending_translation_qa		Oxford 5000 list row POS/CEFR confirmed 2026-08-19; translation not yet admitted.
ox5000-e9ce0ef0b9e1ccdb8aea	marine	adjective	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	pending_translation_qa		Oxford 5000 list row POS/CEFR confirmed 2026-08-19; translation not yet admitted.
ox5000-a5f32858773a6b77be3b	marketplace	noun	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	pending_translation_qa		Oxford 5000 list row POS/CEFR confirmed 2026-08-19; translation not yet admitted.
ox5000-0f5a5b9deee4220fce10	mask	noun	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	pending_translation_qa		Oxford 5000 list row POS/CEFR confirmed 2026-08-19; translation not yet admitted.
ox5000-81329173a69bb039cb79	massacre	noun	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	pending_translation_qa		Oxford 5000 list row POS/CEFR confirmed 2026-08-19; translation not yet admitted.
ox5000-cdd221ea4b67ec5be3c2	mathematical	adjective	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	pending_translation_qa		Oxford 5000 list row POS/CEFR confirmed 2026-08-19; translation not yet admitted.
ox5000-d95e5f57b805512fbdb3	mature	adjective	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	pending_translation_qa		Oxford 5000 list row POS/CEFR confirmed 2026-08-19; translation not yet admitted.
ox5000-2e31c2be4d129c767c89	mature	verb	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	pending_translation_qa		Oxford 5000 list row POS/CEFR confirmed 2026-08-19; translation not yet admitted.
ox5000-b807e5f925ee1657287e	maximize	verb	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	pending_translation_qa		Oxford 5000 list row POS/CEFR confirmed 2026-08-19; translation not yet admitted.
ox5000-d96cee4a5efb05c87e6d	meaningful	adjective	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	pending_translation_qa		Oxford 5000 list row POS/CEFR confirmed 2026-08-19; translation not yet admitted.
ox5000-6191cd3a832acc5ebed0	meantime	noun	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	pending_translation_qa		Oxford 5000 list row POS/CEFR confirmed 2026-08-19; translation not yet admitted.
ox5000-8c1592ad0b165e97ebb4	medieval	adjective	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	pending_translation_qa		Oxford 5000 list row POS/CEFR confirmed 2026-08-19; translation not yet admitted.
ox5000-cd4dfc027884db1b99f7	meditation	noun	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	pending_translation_qa		Oxford 5000 list row POS/CEFR confirmed 2026-08-19; translation not yet admitted.
ox5000-7f04b03a8d421ae18325	melody	noun	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	pending_translation_qa		Oxford 5000 list row POS/CEFR confirmed 2026-08-19; translation not yet admitted.
ox5000-32301dab70f950c46e09	memo	noun	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	pending_translation_qa		Oxford 5000 list row POS/CEFR confirmed 2026-08-19; translation not yet admitted.
ox5000-84dbb482e6ea6861369f	memoir	noun	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	pending_translation_qa		Oxford 5000 list row POS/CEFR confirmed 2026-08-19; translation not yet admitted.
ox5000-e3a387d7657da90cd74f	memorial	noun	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	pending_translation_qa		Oxford 5000 list row POS/CEFR confirmed 2026-08-19; translation not yet admitted.
ox5000-2107b79e33eb5b801243	mentor	noun	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	pending_translation_qa		Oxford 5000 list row POS/CEFR confirmed 2026-08-19; translation not yet admitted.
ox5000-01a196821bc9c6544c4a	merchant	noun	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	pending_translation_qa		Oxford 5000 list row POS/CEFR confirmed 2026-08-19; translation not yet admitted.
ox5000-27578c6de8ef8c857bb6	mercy	noun	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	pending_translation_qa		Oxford 5000 list row POS/CEFR confirmed 2026-08-19; translation not yet admitted.
ox5000-b6b708121582c9190135	mere	adjective	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	pending_translation_qa		Oxford 5000 list row POS/CEFR confirmed 2026-08-19; translation not yet admitted.
ox5000-2f7e1298c65ec6a02a31	merely	adverb	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	pending_translation_qa		Oxford 5000 list row POS/CEFR confirmed 2026-08-19; translation not yet admitted.
ox5000-b6891bd154d2d0dfd17f	merge	verb	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	pending_translation_qa		Oxford 5000 list row POS/CEFR confirmed 2026-08-19; translation not yet admitted.
ox5000-d7255af09f7c1ae11020	merger	noun	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	pending_translation_qa		Oxford 5000 list row POS/CEFR confirmed 2026-08-19; translation not yet admitted.
ox5000-e1c7e4246077c90ce590	merit	noun	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	pending_translation_qa		Oxford 5000 list row POS/CEFR confirmed 2026-08-19; translation not yet admitted.
