entry_id	source	part_of_speech	level	status	ukrainian	official_source	source_check	data_factory_run_id	content_qa_run_id	qa_reason
ox5000-336cd82ab74183c72edd	bombing	noun	B2	verified	бомбардува́ння	https://www.oxfordlearnersdictionaries.com/us/definition/english/bombing	MANUAL_EMERGENCY_WORK V4 exact Oxford identity; source_index=596; definition_path=/us/definition/english/bombing; stable_id=PASS; exact_definition='an occasion when a bomb is dropped or left somewhere; the act of doing this'; selected_candidate_method=en_wiktionary_matching_pos_uk_translation; contextual_definition_candidate_forbidden_as_final=PASS	MANUAL_EMERGENCY_WORK_20260820_FIRST_PASS_V4_round01	MANUAL_EMERGENCY_WORK_20260820_SECOND_PASS_V4_round01	PASS V4: concise lexical equivalent; method=en_wiktionary_matching_pos_uk_translation; exact Oxford definition='an occasion when a bomb is dropped or left somewhere; the act of doing this'; candidate='бомбардува́ння'; reverse='bombing'; lexical=1.000; candidate_definition_similarity=0.743; reverse_definition_similarity=0.694; lexical-form/POS/role/source-grounded checks PASS.
ox5000-6c90d20f57eaa3951076	candle	noun	B2	verified	свічка	https://www.oxfordlearnersdictionaries.com/us/definition/english/candle	MANUAL_EMERGENCY_WORK V4 exact Oxford identity; source_index=726; definition_path=/us/definition/english/candle; stable_id=PASS; exact_definition='a round stick of wax with a piece of string (called a wick ) through the middle that is lit to give light as it burns'; selected_candidate_method=Helsinki-NLP/opus-mt-en-uk_surface_candidate; contextual_definition_candidate_forbidden_as_final=PASS	MANUAL_EMERGENCY_WORK_20260820_FIRST_PASS_V4_round01	MANUAL_EMERGENCY_WORK_20260820_SECOND_PASS_V4_round01	PASS V4: concise lexical equivalent; method=Helsinki-NLP/opus-mt-en-uk_surface_candidate; exact Oxford definition='a round stick of wax with a piece of string (called a wick ) through the middle that is lit to give light as it burns'; candidate='свічка'; reverse='candle'; lexical=1.000; candidate_definition_similarity=0.618; reverse_definition_similarity=0.593; lexical-form/POS/role/source-grounded checks PASS.
ox5000-aadc5f65541eae6cccd0	carbon	noun	B2	verified	вугле́ць	https://www.oxfordlearnersdictionaries.com/us/definition/english/carbon	MANUAL_EMERGENCY_WORK V4 exact Oxford identity; source_index=741; definition_path=/us/definition/english/carbon; stable_id=PASS; exact_definition='a chemical element. Carbon is found in all living things, existing in a pure state as diamond and graphite .'; selected_candidate_method=en_wiktionary_matching_pos_uk_translation; contextual_definition_candidate_forbidden_as_final=PASS	MANUAL_EMERGENCY_WORK_20260820_FIRST_PASS_V4_round01	MANUAL_EMERGENCY_WORK_20260820_SECOND_PASS_V4_round01	PASS V4: concise lexical equivalent; method=en_wiktionary_matching_pos_uk_translation; exact Oxford definition='a chemical element. Carbon is found in all living things, existing in a pure state as diamond and graphite .'; candidate='вугле́ць'; reverse='carbon'; lexical=1.000; candidate_definition_similarity=0.604; reverse_definition_similarity=0.652; lexical-form/POS/role/source-grounded checks PASS.
ox5000-2f11663a968a94ccb406	cave	noun	B2	verified	печера	https://www.oxfordlearnersdictionaries.com/us/definition/english/cave_1	MANUAL_EMERGENCY_WORK V4 exact Oxford identity; source_index=775; definition_path=/us/definition/english/cave_1; stable_id=PASS; exact_definition='a large hole in the side of a hill or cliff or under the ground'; selected_candidate_method=Helsinki-NLP/opus-mt-en-uk_surface_candidate; contextual_definition_candidate_forbidden_as_final=PASS	MANUAL_EMERGENCY_WORK_20260820_FIRST_PASS_V4_round01	MANUAL_EMERGENCY_WORK_20260820_SECOND_PASS_V4_round01	PASS V4: concise lexical equivalent; method=Helsinki-NLP/opus-mt-en-uk_surface_candidate; exact Oxford definition='a large hole in the side of a hill or cliff or under the ground'; candidate='печера'; reverse='Cave'; lexical=1.000; candidate_definition_similarity=0.635; reverse_definition_similarity=0.616; lexical-form/POS/role/source-grounded checks PASS.
ox5000-aa38df2298e6ecac59b2	charming	adjective	B2	verified	чарівна	https://www.oxfordlearnersdictionaries.com/us/definition/english/charming	MANUAL_EMERGENCY_WORK V4 exact Oxford identity; source_index=819; definition_path=/us/definition/english/charming; stable_id=PASS; exact_definition='very pleasant or attractive'; selected_candidate_method=Helsinki-NLP/opus-mt-en-uk_surface_candidate; contextual_definition_candidate_forbidden_as_final=PASS	MANUAL_EMERGENCY_WORK_20260820_FIRST_PASS_V4_round01	MANUAL_EMERGENCY_WORK_20260820_SECOND_PASS_V4_round01	PASS V4: concise lexical equivalent; method=Helsinki-NLP/opus-mt-en-uk_surface_candidate; exact Oxford definition='very pleasant or attractive'; candidate='чарівна'; reverse='charming'; lexical=1.000; candidate_definition_similarity=0.591; reverse_definition_similarity=0.723; lexical-form/POS/role/source-grounded checks PASS.
ox5000-50c859b7eef5dc7ea1e0	civilization	noun	B2	verified	цивіліза́ція	https://www.oxfordlearnersdictionaries.com/us/definition/english/civilization	MANUAL_EMERGENCY_WORK V4 exact Oxford identity; source_index=873; definition_path=/us/definition/english/civilization; stable_id=PASS; exact_definition='a state of human society that is very developed and organized'; selected_candidate_method=en_wiktionary_matching_pos_uk_translation; contextual_definition_candidate_forbidden_as_final=PASS	MANUAL_EMERGENCY_WORK_20260820_FIRST_PASS_V4_round01	MANUAL_EMERGENCY_WORK_20260820_SECOND_PASS_V4_round01	PASS V4: concise lexical equivalent; method=en_wiktionary_matching_pos_uk_translation; exact Oxford definition='a state of human society that is very developed and organized'; candidate='цивіліза́ція'; reverse='civilization'; lexical=1.000; candidate_definition_similarity=0.653; reverse_definition_similarity=0.629; lexical-form/POS/role/source-grounded checks PASS.
ox5000-a57faf81bb42681a8e1a	clip	noun	B2	verified	кліп	https://www.oxfordlearnersdictionaries.com/us/definition/english/clip_1	MANUAL_EMERGENCY_WORK V4 exact Oxford identity; source_index=905; definition_path=/us/definition/english/clip_1; stable_id=PASS; exact_definition='a short part of a film that is shown separately'; selected_candidate_method=Helsinki-NLP/opus-mt-en-uk_surface_candidate; contextual_definition_candidate_forbidden_as_final=PASS	MANUAL_EMERGENCY_WORK_20260820_FIRST_PASS_V4_round01	MANUAL_EMERGENCY_WORK_20260820_SECOND_PASS_V4_round01	PASS V4: concise lexical equivalent; method=Helsinki-NLP/opus-mt-en-uk_surface_candidate; exact Oxford definition='a short part of a film that is shown separately'; candidate='кліп'; reverse='music clip'; lexical=1.000; candidate_definition_similarity=0.540; reverse_definition_similarity=0.449; lexical-form/POS/role/source-grounded checks PASS.
ox5000-8088b7e5636be8851c0c	commander	noun	B2	verified	команди́р	https://www.oxfordlearnersdictionaries.com/us/definition/english/commander	MANUAL_EMERGENCY_WORK V4 exact Oxford identity; source_index=968; definition_path=/us/definition/english/commander; stable_id=PASS; exact_definition='a person who is in charge of something, especially an officer in charge of a particular group of soldiers or a military operation'; selected_candidate_method=en_wiktionary_matching_pos_uk_translation; contextual_definition_candidate_forbidden_as_final=PASS	MANUAL_EMERGENCY_WORK_20260820_FIRST_PASS_V4_round01	MANUAL_EMERGENCY_WORK_20260820_SECOND_PASS_V4_round01	PASS V4: concise lexical equivalent; method=en_wiktionary_matching_pos_uk_translation; exact Oxford definition='a person who is in charge of something, especially an officer in charge of a particular group of soldiers or a military operation'; candidate='команди́р'; reverse='commander'; lexical=1.000; candidate_definition_similarity=0.404; reverse_definition_similarity=0.641; lexical-form/POS/role/source-grounded checks PASS.
ox5000-39d12fcbbe01c1f981f5	comparative	adjective	B2	verified	порівня́льний	https://www.oxfordlearnersdictionaries.com/us/definition/english/comparative_1	MANUAL_EMERGENCY_WORK V4 exact Oxford identity; source_index=993; definition_path=/us/definition/english/comparative_1; stable_id=PASS; exact_definition='measured or judged by how similar or different it is to something else'; selected_candidate_method=en_wiktionary_matching_pos_uk_translation; contextual_definition_candidate_forbidden_as_final=PASS	MANUAL_EMERGENCY_WORK_20260820_FIRST_PASS_V4_round01	MANUAL_EMERGENCY_WORK_20260820_SECOND_PASS_V4_round01	PASS V4: concise lexical equivalent; method=en_wiktionary_matching_pos_uk_translation; exact Oxford definition='measured or judged by how similar or different it is to something else'; candidate='порівня́льний'; reverse='comparative'; lexical=1.000; candidate_definition_similarity=0.477; reverse_definition_similarity=0.462; lexical-form/POS/role/source-grounded checks PASS.
ox5000-3b7af52b2f41a82a1271	completion	noun	B2	verified	завершення	https://www.oxfordlearnersdictionaries.com/us/definition/english/completion	MANUAL_EMERGENCY_WORK V4 exact Oxford identity; source_index=1014; definition_path=/us/definition/english/completion; stable_id=PASS; exact_definition='the act or process of finishing something; the state of being finished and complete'; selected_candidate_method=Helsinki-NLP/opus-mt-en-uk_surface_candidate; contextual_definition_candidate_forbidden_as_final=PASS	MANUAL_EMERGENCY_WORK_20260820_FIRST_PASS_V4_round01	MANUAL_EMERGENCY_WORK_20260820_SECOND_PASS_V4_round01	PASS V4: concise lexical equivalent; method=Helsinki-NLP/opus-mt-en-uk_surface_candidate; exact Oxford definition='the act or process of finishing something; the state of being finished and complete'; candidate='завершення'; reverse='completion'; lexical=1.000; candidate_definition_similarity=0.628; reverse_definition_similarity=0.646; lexical-form/POS/role/source-grounded checks PASS.
