entry_id	source	part_of_speech	level	official_source	status	ukrainian	source_check
ox5000-eb0293a3f6363da659f0	myth	noun	B2	https://www.oxfordlearnersdictionaries.com/external/pdf/wordlists/oxford-3000-5000/The_Oxford_5000_by_CEFR_level.pdf	verified	міф	Official Oxford 5000 CEFR source confirms noun B2; Ukrainian translation QA completed.
ox5000-ca664495562e116ad7fd	naked	adjective	B2	https://www.oxfordlearnersdictionaries.com/external/pdf/wordlists/oxford-3000-5000/The_Oxford_5000_by_CEFR_level.pdf	verified	оголений; неприкритий	Official Oxford 5000 CEFR source confirms adjective B2; translation preserves literal and figurative adjective use.
ox5000-eaf77b1718fca00cabc4	nasty	adjective	B2	https://www.oxfordlearnersdictionaries.com/us/definition/english/nasty	verified	неприємний; злий; огидний	Oxford Advanced Learner's Dictionary confirms adjective senses including very bad/unpleasant, unkind and offensive; translation preserves the principal senses.
ox5000-a7e7e5c0e8c0362d940b	navigation	noun	B2	https://www.oxfordlearnersdictionaries.com/external/pdf/wordlists/oxford-3000-5000/The_Oxford_5000_by_CEFR_level.pdf	verified	навігація	Official Oxford 5000 CEFR source confirms noun B2; Ukrainian translation QA completed.
ox5000-bae778e1e5cbc9051458	nearby	adjective	B2	https://www.oxfordlearnersdictionaries.com/external/pdf/wordlists/oxford-3000-5000/The_Oxford_5000_by_CEFR_level.pdf	verified	сусідній; розташований поблизу	Official Oxford 5000 CEFR source confirms adjective B2; POS-specific translation QA completed.
ox5000-da0cb9ca5a47ecb6d6e8	nearby	adverb	B2	https://www.oxfordlearnersdictionaries.com/external/pdf/wordlists/oxford-3000-5000/The_Oxford_5000_by_CEFR_level.pdf	verified	поблизу; неподалік	Official Oxford 5000 CEFR source confirms adverb B2; POS-specific translation QA completed.
ox5000-402cea7517ed030499a7	necessity	noun	B2	https://www.oxfordlearnersdictionaries.com/external/pdf/wordlists/oxford-3000-5000/The_Oxford_5000_by_CEFR_level.pdf	verified	необхідність; предмет першої необхідності	Official Oxford 5000 CEFR source confirms noun B2; translation preserves abstract and countable noun use.
ox5000-a21e9181282a77c625ea	neglect	noun	C1	https://www.oxfordlearnersdictionaries.com/external/pdf/wordlists/oxford-3000-5000/The_Oxford_5000_by_CEFR_level.pdf	verified	нехтування; занедбаність	Official Oxford 5000 CEFR source confirms noun C1; POS-specific translation QA completed.
ox5000-7830d38e2392880eb3ad	neglect	verb	C1	https://www.oxfordlearnersdictionaries.com/external/pdf/wordlists/oxford-3000-5000/The_Oxford_5000_by_CEFR_level.pdf	verified	нехтувати; занедбувати	Official Oxford 5000 CEFR source confirms verb C1; POS-specific translation QA completed.
ox5000-b8f8352089b967728585	negotiate	verb	B2	https://www.oxfordlearnersdictionaries.com/external/pdf/wordlists/oxford-3000-5000/The_Oxford_5000_by_CEFR_level.pdf	verified	вести переговори; домовлятися	Official Oxford 5000 CEFR source confirms verb B2; Ukrainian translation QA completed.
ox5000-02bd18291c9215e02632	negotiation	noun	B2	https://www.oxfordlearnersdictionaries.com/external/pdf/wordlists/oxford-3000-5000/The_Oxford_5000_by_CEFR_level.pdf	verified	переговори; узгодження	Official Oxford 5000 CEFR source confirms noun B2; Ukrainian translation QA completed.
ox5000-a5ffff11f718c1003048	neighbouring	adjective	C1	https://www.oxfordlearnersdictionaries.com/external/pdf/wordlists/oxford-3000-5000/The_Oxford_5000_by_CEFR_level.pdf	verified	сусідній; прилеглий	Official Oxford 5000 CEFR source confirms adjective C1; Ukrainian translation QA completed.
ox5000-0724207021c1efd033d2	nest	noun	C1	https://www.oxfordlearnersdictionaries.com/external/pdf/wordlists/oxford-3000-5000/The_Oxford_5000_by_CEFR_level.pdf	verified	гніздо	Official Oxford 5000 CEFR source confirms noun C1; Ukrainian translation QA completed.
ox5000-c69f6f8cd0befa20d204	net	adjective	C1	https://www.oxfordlearnersdictionaries.com/us/definition/english/net_3	verified	чистий (після вирахувань); кінцевий	Oxford Advanced Learner's Dictionary confirms adjective senses for amount after deductions, weight without packaging and final overall result; translation preserves the core adjective distinction from gross.
ox5000-3ce37a62a17a33d0d472	neutral	adjective	B2	https://www.oxfordlearnersdictionaries.com/external/pdf/wordlists/oxford-3000-5000/The_Oxford_5000_by_CEFR_level.pdf	verified	нейтральний	Official Oxford 5000 CEFR source confirms adjective B2; Ukrainian translation QA completed.
ox5000-447942900ea92e1b9a20	newly	adverb	B2	https://www.oxfordlearnersdictionaries.com/external/pdf/wordlists/oxford-3000-5000/The_Oxford_5000_by_CEFR_level.pdf	verified	нещодавно; щойно	Official Oxford 5000 CEFR source confirms adverb B2; Ukrainian translation QA completed.
