entry_id	source	part_of_speech	level	official_source	status	ukrainian	source_check
ox5000-293b701bcd982a32a431	operational	adjective	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	операційний; експлуатаційний; діючий; готовий до використання	Oxford 5000 POS/CEFR confirmed; OALD covers how a business/machine/system works, readiness for use, and military-operation use. Ukrainian multi-sense coverage source-checked 2026-08-19.
ox5000-a36535b330b59a2986c9	opt	verb	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	обирати; робити вибір	Oxford 5000 POS/CEFR confirmed; OALD core verb means to choose or decide to do something, commonly opt for/to. Ukrainian multi-sense coverage source-checked 2026-08-19.
ox5000-52342a5a7027e555d718	optical	adjective	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	оптичний; зоровий	Oxford 5000 POS/CEFR confirmed; OALD covers sight/light, visual aids/instruments and light-based computing. Ukrainian multi-sense coverage source-checked 2026-08-19.
ox5000-dd82b1ddfc1430d79d9e	optimism	noun	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	оптимізм	Oxford 5000 POS/CEFR confirmed; OALD core noun means a feeling that good things will happen or something will succeed. Ukrainian multi-sense coverage source-checked 2026-08-19.
ox5000-6c7c2251de6af667976d	oral	adjective	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	усний; ротовий	Oxford 5000 POS/CEFR confirmed; OALD adjective covers spoken rather than written and connection with the mouth. Ukrainian multi-sense coverage source-checked 2026-08-19.
ox5000-b6b2c0abc711d61f224c	organizational	adjective	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	організаційний	Oxford 5000 POS/CEFR confirmed; OALD adjective means connected with the way an organization is structured or managed. Ukrainian multi-sense coverage source-checked 2026-08-19.
ox5000-636a58ef5f1d63d0c493	orientation	noun	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	орієнтація; спрямованість; вступне ознайомлення	Oxford 5000 POS/CEFR confirmed; OALD noun covers beliefs/interests, direction/position and introductory training/information. Ukrainian multi-sense coverage source-checked 2026-08-19.
ox5000-f7b4c3f6c1aaf5289aff	originate	verb	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	виникати; походити; започатковувати	Oxford 5000 POS/CEFR confirmed; OALD verb covers beginning/coming from a source and causing an idea or plan to begin. Ukrainian multi-sense coverage source-checked 2026-08-19.
ox5000-7d69dfb0b3d2b13950e7	outbreak	noun	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	спалах; раптовий початок	Oxford 5000 POS/CEFR confirmed; OALD noun covers a sudden start of something unpleasant, especially disease or violence. Ukrainian multi-sense coverage source-checked 2026-08-19.
ox5000-09507f6ce04972dbeb91	outing	noun	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	прогулянка; поїздка; екскурсія	Oxford 5000 POS/CEFR confirmed; OALD noun is a trip for pleasure, especially a short organized one. Ukrainian multi-sense coverage source-checked 2026-08-19.
ox5000-f498f6de64364bb2f764	outlet	noun	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	торговельна точка; вихід; розетка; канал для вираження	Oxford 5000 POS/CEFR confirmed; OALD noun covers retail outlet, means of expression, flow outlet and electrical socket. Ukrainian multi-sense coverage source-checked 2026-08-19.
ox5000-aaa702845ea274a403f5	outlook	noun	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	світогляд; погляд; перспектива; прогноз	Oxford 5000 POS/CEFR confirmed; OALD noun covers attitude/worldview, likely future/prospect and a view from a place. Ukrainian multi-sense coverage source-checked 2026-08-19.
ox5000-e882ed27d236b62ec3a0	outrage	noun	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	обурення; кричуща несправедливість; неподобство	Oxford 5000 POS/CEFR confirmed; OALD noun covers strong shock/anger and an act or event that causes it. Ukrainian multi-sense coverage source-checked 2026-08-19.
ox5000-f697527d5851d43a83ff	outrage	verb	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	обурювати; викликати обурення	Oxford 5000 POS/CEFR confirmed; OALD verb means to make somebody very shocked and angry. Ukrainian multi-sense coverage source-checked 2026-08-19.
ox5000-8898ec0519f720645b06	outsider	noun	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	стороння людина; чужинець; аутсайдер	Oxford 5000 POS/CEFR confirmed; OALD noun covers a person outside a group/community and a competitor not expected to win. Ukrainian multi-sense coverage source-checked 2026-08-19.
ox5000-2b120d2ad92193f8d15a	overlook	verb	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	не помічати; пропускати; мати вид на; пробачати	Oxford 5000 POS/CEFR confirmed; OALD verb covers failing to notice, having a view over, and choosing not to punish a fault. Ukrainian multi-sense coverage source-checked 2026-08-19.
ox5000-8291221baa9c6a4b713f	overly	adverb	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	надмірно; занадто	Oxford 5000 POS/CEFR confirmed; OALD adverb means too much or more than is normal/necessary. Ukrainian multi-sense coverage source-checked 2026-08-19.
ox5000-f16bddf32d1275a97f49	oversee	verb	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	наглядати; контролювати	Oxford 5000 POS/CEFR confirmed; OALD verb means to watch and make sure a job or activity is done correctly. Ukrainian multi-sense coverage source-checked 2026-08-19.
ox5000-4c92e7dd59b1d11985ff	overturn	verb	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	перекидати; скасовувати; повалювати	Oxford 5000 POS/CEFR confirmed; OALD verb covers turning over, officially reversing a decision, and removing a government/ruler. Ukrainian multi-sense coverage source-checked 2026-08-19.
ox5000-3a3922acf9456d9cead1	overwhelm	verb	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	приголомшувати; переповнювати; долати	Oxford 5000 POS/CEFR confirmed; OALD verb covers overpowering emotions, too much work/quantity and defeating by greater force. Ukrainian multi-sense coverage source-checked 2026-08-19.
ox5000-765393fac03306965ca6	overwhelming	adjective	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	приголомшливий; переважний; надзвичайний	Oxford 5000 POS/CEFR confirmed; OALD adjective covers very great/strong and very difficult to resist or deal with. Ukrainian multi-sense coverage source-checked 2026-08-19.
ox5000-5615d3ba391445ac26e5	pad	noun	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	подушечка; прокладка; блокнот; майданчик	Oxford 5000 POS/CEFR confirmed; OALD noun covers soft protective/absorbent material, writing-paper pad and several platform/base uses. Ukrainian multi-sense coverage source-checked 2026-08-19.
ox5000-5c702920eec108a453d3	parameter	noun	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	параметр; межа; умова	Oxford 5000 POS/CEFR confirmed; OALD noun means something that decides or limits how something can be done. Ukrainian multi-sense coverage source-checked 2026-08-19.
ox5000-d5a40e9a0f5ba0136260	parental	adjective	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	батьківський	Oxford 5000 POS/CEFR confirmed; OALD adjective means connected with a parent or parents. Ukrainian multi-sense coverage source-checked 2026-08-19.
ox5000-3b7d210068c5e19e07bb	parish	noun	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	парафія; церковна громада; адміністративна парафія	Oxford 5000 POS/CEFR confirmed; OALD noun covers church district/community and civil administrative senses. Ukrainian multi-sense coverage source-checked 2026-08-19.
ox5000-5c166db38a52183001f3	parliamentary	adjective	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	парламентський	Oxford 5000 POS/CEFR confirmed; OALD adjective means connected with a parliament or its members/processes. Ukrainian multi-sense coverage source-checked 2026-08-19.
ox5000-d1bcbf1480b191f5bd05	partial	adjective	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	частковий; неповний; небайдужий до	Oxford 5000 POS/CEFR confirmed; OALD adjective covers incomplete/not whole and the older 'partial to' liking sense. Ukrainian multi-sense coverage source-checked 2026-08-19.
ox5000-a3ea379a9dc2a8950190	partially	adverb	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	частково	Oxford 5000 POS/CEFR confirmed; OALD adverb means partly; not completely. Ukrainian multi-sense coverage source-checked 2026-08-19.
ox5000-e47d7b09c67c1b7fe44c	passing	noun	C1	https://www.oxfordlearnersdictionaries.com/us/wordlists/oxford3000-5000	verified	плин; завершення; смерть; ухвалення	Oxford 5000 POS/CEFR confirmed; OALD noun covers passage of time, ending/death and making a resolution or law become law. Ukrainian multi-sense coverage source-checked 2026-08-19.
