entry_id	source	part_of_speech	level	ukrainian	status	provenance
ox5000-6cb94901ee4c66a30fb3	bold	adjective	B2	сміливий	verified	USER_APPROVED_INPUT: Drive spreadsheet 13NjX7gg1iooze1HZvs4wq8E33bpWXWqalCVnqLCxvGQ
ox5000-336cd82ab74183c72edd	bombing	noun	B2	бомбардування	verified	USER_APPROVED_INPUT: Drive spreadsheet 13NjX7gg1iooze1HZvs4wq8E33bpWXWqalCVnqLCxvGQ
ox5000-0324076e988934c9c7ca	booking	noun	B2	бронювання	verified	USER_APPROVED_INPUT: Drive spreadsheet 13NjX7gg1iooze1HZvs4wq8E33bpWXWqalCVnqLCxvGQ
ox5000-00636bc1e91847dc273e	boost	noun	B2	підвищення	verified	USER_APPROVED_INPUT: Drive spreadsheet 13NjX7gg1iooze1HZvs4wq8E33bpWXWqalCVnqLCxvGQ
ox5000-c0b4a3f25a5eb7edbd5f	boost	verb	B2	підвищувати	verified	USER_APPROVED_INPUT: Drive spreadsheet 13NjX7gg1iooze1HZvs4wq8E33bpWXWqalCVnqLCxvGQ
ox5000-1f5a6ea35a13b0e40dd1	bound	adjective	B2	неминучий	verified	USER_APPROVED_INPUT: Drive spreadsheet 13NjX7gg1iooze1HZvs4wq8E33bpWXWqalCVnqLCxvGQ
ox5000-f36df4a285a808895f17	brick	noun	B2	цеглина	verified	USER_APPROVED_INPUT: Drive spreadsheet 13NjX7gg1iooze1HZvs4wq8E33bpWXWqalCVnqLCxvGQ
ox5000-c8c42d98d7e616f8064a	briefly	adverb	B2	коротко	verified	USER_APPROVED_INPUT: Drive spreadsheet 13NjX7gg1iooze1HZvs4wq8E33bpWXWqalCVnqLCxvGQ
ox5000-a29b52dd76fad8a77358	broadcaster	noun	B2	телерадіомовник	verified	USER_APPROVED_INPUT: Drive spreadsheet 13NjX7gg1iooze1HZvs4wq8E33bpWXWqalCVnqLCxvGQ
ox5000-c665d95862829f444fe3	broadly	adverb	B2	загалом	verified	USER_APPROVED_INPUT: Drive spreadsheet 13NjX7gg1iooze1HZvs4wq8E33bpWXWqalCVnqLCxvGQ
ox5000-7e010b349356a4ff144c	bug	noun	B2	помилка; жук	verified	USER_APPROVED_INPUT: Drive spreadsheet 13NjX7gg1iooze1HZvs4wq8E33bpWXWqalCVnqLCxvGQ
ox5000-bc1029015aec50c2aea1	cabin	noun	B2	каюта; хатина	verified	USER_APPROVED_INPUT: Drive spreadsheet 13NjX7gg1iooze1HZvs4wq8E33bpWXWqalCVnqLCxvGQ
ox5000-b575091301cde0aab47c	canal	noun	B2	канал	verified	USER_APPROVED_INPUT: Drive spreadsheet 13NjX7gg1iooze1HZvs4wq8E33bpWXWqalCVnqLCxvGQ
ox5000-6c90d20f57eaa3951076	candle	noun	B2	свічка	verified	USER_APPROVED_INPUT: Drive spreadsheet 13NjX7gg1iooze1HZvs4wq8E33bpWXWqalCVnqLCxvGQ
ox5000-aadc5f65541eae6cccd0	carbon	noun	B2	вуглець	verified	USER_APPROVED_INPUT: Drive spreadsheet 13NjX7gg1iooze1HZvs4wq8E33bpWXWqalCVnqLCxvGQ
ox5000-9c94f94be7b1a888dd21	casual	adjective	B2	повсякденний; випадковий	verified	USER_APPROVED_INPUT: Drive spreadsheet 13NjX7gg1iooze1HZvs4wq8E33bpWXWqalCVnqLCxvGQ
ox5000-2f11663a968a94ccb406	cave	noun	B2	печера	verified	USER_APPROVED_INPUT: Drive spreadsheet 13NjX7gg1iooze1HZvs4wq8E33bpWXWqalCVnqLCxvGQ
ox5000-1a9ae9f38cefadbdbe69	certainty	noun	B2	впевненість	verified	USER_APPROVED_INPUT: Drive spreadsheet 13NjX7gg1iooze1HZvs4wq8E33bpWXWqalCVnqLCxvGQ
ox5000-f65ec664052307d40e5e	certificate	noun	B2	сертифікат	verified	USER_APPROVED_INPUT: Drive spreadsheet 13NjX7gg1iooze1HZvs4wq8E33bpWXWqalCVnqLCxvGQ
ox5000-d11e4137c39c91300aa9	challenging	adjective	B2	складний	verified	USER_APPROVED_INPUT: Drive spreadsheet 13NjX7gg1iooze1HZvs4wq8E33bpWXWqalCVnqLCxvGQ
ox5000-371ffb23c06cf5d1b8ef	championship	noun	B2	чемпіонат	verified	USER_APPROVED_INPUT: Drive spreadsheet 13NjX7gg1iooze1HZvs4wq8E33bpWXWqalCVnqLCxvGQ
ox5000-aa38df2298e6ecac59b2	charming	adjective	B2	чарівний	verified	USER_APPROVED_INPUT: Drive spreadsheet 13NjX7gg1iooze1HZvs4wq8E33bpWXWqalCVnqLCxvGQ
ox5000-faf95786d6bb15f92757	chase	noun	B2	переслідування	verified	USER_APPROVED_INPUT: Drive spreadsheet 13NjX7gg1iooze1HZvs4wq8E33bpWXWqalCVnqLCxvGQ
ox5000-1c569c97ca81d70efaf2	chase	verb	B2	переслідувати	verified	USER_APPROVED_INPUT: Drive spreadsheet 13NjX7gg1iooze1HZvs4wq8E33bpWXWqalCVnqLCxvGQ
ox5000-9f02d00aa1a75bbfe2ec	cheek	noun	B2	щока	verified	USER_APPROVED_INPUT: Drive spreadsheet 13NjX7gg1iooze1HZvs4wq8E33bpWXWqalCVnqLCxvGQ
ox5000-e9afbf1e9b9ba09c65ee	cheer	noun	B2	підбадьорення	verified	USER_APPROVED_INPUT: Drive spreadsheet 13NjX7gg1iooze1HZvs4wq8E33bpWXWqalCVnqLCxvGQ
ox5000-042f56b4f8aa0bfb23f1	cheer	verb	B2	підбадьорювати	verified	USER_APPROVED_INPUT: Drive spreadsheet 13NjX7gg1iooze1HZvs4wq8E33bpWXWqalCVnqLCxvGQ
ox5000-4e45db7231a1deb4a27d	choir	noun	B2	хор	verified	USER_APPROVED_INPUT: Drive spreadsheet 13NjX7gg1iooze1HZvs4wq8E33bpWXWqalCVnqLCxvGQ
