entryId	status	note
oxford-a1-0001	verified	
oxford-a1-0002	verified	
oxford-a1-0003	verified	
oxford-a1-0004	verified	
oxford-a1-0005	verified	
oxford-a1-0006	verified	
oxford-a1-0007	verified	
oxford-a1-0008	verified	
oxford-a1-0009	verified	
oxford-a1-0010	verified	
oxford-a1-0011	verified	
oxford-a1-0012	verified	
oxford-a1-0013	needs-second-pass	Polysemous/function-word entry; source-backed sense selection required.
oxford-a1-0014	verified	
oxford-a1-0015	verified	Cambridge: afternoon = час після полудня; пообідній час
oxford-a1-0016	verified	
oxford-a1-0017	verified	
oxford-a1-0018	verified	
oxford-a1-0019	verified	
oxford-a1-0020	verified	
oxford-a1-0021	verified	
oxford-a1-0022	verified	
oxford-a1-0023	verified	
oxford-a1-0024	verified	
oxford-a1-0025	verified	
oxford-a1-0026	verified	
oxford-a1-0027	verified	
oxford-a1-0028	verified	
oxford-a1-0029	verified	
oxford-a1-0030	verified	
oxford-a1-0031	needs-second-pass	Polysemous/function-word entry; source-backed sense selection required.
oxford-a1-0032	verified	
oxford-a1-0033	verified	
oxford-a1-0034	verified	
oxford-a1-0035	verified	
oxford-a1-0036	verified	
oxford-a1-0037	needs-second-pass	Polysemous/function-word entry; source-backed sense selection required.
oxford-a1-0038	verified	Cambridge: arm (body part) = рука
oxford-a1-0039	verified	
oxford-a1-0040	verified	
oxford-a1-0041	verified	
oxford-a1-0042	needs-second-pass	Polysemous/function-word entry; source-backed sense selection required.
oxford-a1-0043	needs-second-pass	Polysemous/function-word entry; source-backed sense selection required.
oxford-a1-0044	verified	
oxford-a1-0045	verified	
oxford-a1-0046	needs-second-pass	Polysemous/function-word entry; source-backed sense selection required.
oxford-a1-0047	verified	
oxford-a1-0048	verified	
oxford-a1-0049	verified	
oxford-a1-0050	needs-second-pass	Polysemous/function-word entry; source-backed sense selection required.
oxford-a1-0051	verified	Cambridge: baby = маля / very young child
oxford-a1-0052	needs-second-pass	Polysemous/function-word entry; source-backed sense selection required.
oxford-a1-0053	verified	
oxford-a1-0054	verified	
oxford-a1-0055	verified	
oxford-a1-0056	verified	
oxford-a1-0057	needs-second-pass	Polysemous/function-word entry; source-backed sense selection required.
oxford-a1-0058	verified	
oxford-a1-0059	needs-second-pass	Polysemous/function-word entry; source-backed sense selection required.
oxford-a1-0060	verified	Cambridge: bathroom = ванна; US lavatory = туалет; current room-sense target acceptable
oxford-a1-0061	verified	
oxford-a1-0062	verified	
oxford-a1-0063	verified	
oxford-a1-0064	verified	
oxford-a1-0065	verified	
oxford-a1-0066	verified	
oxford-a1-0067	verified	
oxford-a1-0068	verified	
oxford-a1-0069	needs-second-pass	Polysemous/function-word entry; source-backed sense selection required.
oxford-a1-0070	verified	
oxford-a1-0071	verified	
oxford-a1-0072	needs-second-pass	Polysemous/function-word entry; source-backed sense selection required.
oxford-a1-0073	verified	
oxford-a1-0074	needs-second-pass	Polysemous/function-word entry; source-backed sense selection required.
oxford-a1-0075	verified	
oxford-a1-0076	verified	
oxford-a1-0077	verified	
oxford-a1-0078	verified	
oxford-a1-0079	verified	
oxford-a1-0080	verified	
oxford-a1-0081	verified	Cambridge: bill (money owed) = рахунок
oxford-a1-0082	verified	
oxford-a1-0083	verified	
oxford-a1-0084	verified	
oxford-a1-0085	verified	
oxford-a1-0086	verified	
oxford-a1-0087	verified	
oxford-a1-0088	verified	
oxford-a1-0089	verified	
oxford-a1-0090	verified	
oxford-a1-0091	verified	
oxford-a1-0092	verified	
oxford-a1-0093	verified	
oxford-a1-0094	verified	
oxford-a1-0095	verified	
oxford-a1-0096	verified	
oxford-a1-0097	verified	
oxford-a1-0098	verified	
oxford-a1-0099	needs-second-pass	Polysemous/function-word entry; source-backed sense selection required.
oxford-a1-0100	verified	
oxford-a1-0101	needs-second-pass	Polysemous/function-word entry; source-backed sense selection required.
oxford-a1-0102	verified	
oxford-a1-0103	verified	
oxford-a1-0104	verified	
oxford-a1-0105	verified	
oxford-a1-0106	verified	
oxford-a1-0107	verified	
oxford-a1-0108	verified	
oxford-a1-0109	needs-second-pass	Polysemous/function-word entry; source-backed sense selection required.
oxford-a1-0110	verified	
oxford-a1-0111	verified	
oxford-a1-0112	verified	Cambridge: butter = масло
oxford-a1-0113	verified	
oxford-a1-0114	needs-second-pass	Cambridge confirms many core senses; current target omits important uses such as до / за допомогою
oxford-a1-0115	verified	
oxford-a1-0116	verified	
oxford-a1-0117	verified	
oxford-a1-0118	needs-second-pass	Polysemous/function-word entry; source-backed sense selection required.
oxford-a1-0119	verified	Cambridge: camera = фотоапарат; television camera = камера
oxford-a1-0120	verified	
