entryId	status	note
oxford-a1-0121	needs-second-pass	Polysemous/modal entry; source-backed sense selection required.
oxford-a1-0122	needs-second-pass	Cambridge: capital includes столиця, велика літера, капітал and adjective senses; current «великий» is potentially misleading.
oxford-a1-0123	verified	
oxford-a1-0124	verified	
oxford-a1-0125	verified	
oxford-a1-0126	verified	
oxford-a1-0127	verified	
oxford-a1-0128	verified	
oxford-a1-0129	verified	
oxford-a1-0130	verified	
oxford-a1-0131	verified	
oxford-a1-0132	verified	
oxford-a1-0133	verified	
oxford-a1-0134	needs-second-pass	Cambridge: change includes змінювати(ся), зміна, дрібні гроші, здача; current card omits common money senses.
oxford-a1-0135	verified	
oxford-a1-0136	verified	
oxford-a1-0137	verified	
oxford-a1-0138	verified	
oxford-a1-0139	verified	
oxford-a1-0140	verified	
oxford-a1-0141	verified	
oxford-a1-0142	verified	
oxford-a1-0143	verified	
oxford-a1-0144	verified	
oxford-a1-0145	verified	
oxford-a1-0146	verified	
oxford-a1-0147	verified	
oxford-a1-0148	verified	
oxford-a1-0149	verified	
oxford-a1-0150	verified	
oxford-a1-0151	verified	
oxford-a1-0152	verified	
oxford-a1-0153	verified	
oxford-a1-0154	verified	
oxford-a1-0155	needs-second-pass	Cambridge: cold noun includes холод and застуда; current card omits the common illness sense.
oxford-a1-0156	verified	
oxford-a1-0157	verified	
oxford-a1-0158	verified	
oxford-a1-0159	verified	
oxford-a1-0160	verified	
oxford-a1-0161	verified	
oxford-a1-0162	verified	
oxford-a1-0163	verified	
oxford-a1-0164	verified	
oxford-a1-0165	verified	
oxford-a1-0166	verified	
oxford-a1-0167	verified	
oxford-a1-0168	verified	
oxford-a1-0169	verified	
oxford-a1-0170	verified	
oxford-a1-0171	needs-second-pass	Polysemous/modal entry; source-backed sense selection required.
oxford-a1-0172	verified	
oxford-a1-0173	verified	Cambridge: primary A1 sense course = курс.
oxford-a1-0174	verified	
oxford-a1-0175	verified	
oxford-a1-0176	needs-second-pass	Polysemous/modal entry; source-backed sense selection required.
oxford-a1-0177	verified	
oxford-a1-0178	verified	
oxford-a1-0179	verified	
oxford-a1-0180	verified	
oxford-a1-0181	verified	
oxford-a1-0182	verified	
oxford-a1-0183	verified	
oxford-a1-0184	verified	
oxford-a1-0185	verified	
oxford-a1-0186	verified	
oxford-a1-0187	verified	
oxford-a1-0188	needs-second-pass	Polysemous/modal entry; source-backed sense selection required.
oxford-a1-0189	verified	
oxford-a1-0190	verified	
oxford-a1-0191	verified	
oxford-a1-0192	verified	
oxford-a1-0193	verified	
oxford-a1-0194	verified	
oxford-a1-0195	verified	
oxford-a1-0196	verified	
oxford-a1-0197	needs-second-pass	Polysemous/modal entry; source-backed sense selection required.
oxford-a1-0198	verified	
oxford-a1-0199	verified	
oxford-a1-0200	verified	
oxford-a1-0201	verified	
oxford-a1-0202	verified	
oxford-a1-0203	verified	
oxford-a1-0204	verified	
oxford-a1-0205	verified	
oxford-a1-0206	verified	
oxford-a1-0207	needs-second-pass	Polysemous/modal entry; source-backed sense selection required.
oxford-a1-0208	verified	
oxford-a1-0209	verified	
oxford-a1-0210	needs-second-pass	Polysemous/modal entry; source-backed sense selection required.
oxford-a1-0211	verified	
oxford-a1-0212	verified	
oxford-a1-0213	verified	
oxford-a1-0214	verified	
oxford-a1-0215	verified	
oxford-a1-0216	needs-second-pass	Polysemous/modal entry; source-backed sense selection required.
oxford-a1-0217	verified	
oxford-a1-0218	verified	
oxford-a1-0219	needs-second-pass	Polysemous/modal entry; source-backed sense selection required.
oxford-a1-0220	verified	
oxford-a1-0221	verified	
oxford-a1-0222	verified	
oxford-a1-0223	verified	
oxford-a1-0224	verified	
oxford-a1-0225	verified	
oxford-a1-0226	verified	
oxford-a1-0227	verified	
oxford-a1-0228	verified	
oxford-a1-0229	verified	
oxford-a1-0230	verified	
oxford-a1-0231	verified	
oxford-a1-0232	verified	
oxford-a1-0233	verified	
oxford-a1-0234	verified	
oxford-a1-0235	verified	
oxford-a1-0236	verified	
oxford-a1-0237	needs-second-pass	Polysemous/modal entry; source-backed sense selection required.
oxford-a1-0238	verified	
oxford-a1-0239	needs-second-pass	Polysemous/modal entry; source-backed sense selection required.
oxford-a1-0240	verified	
